Rank,Model,Model Size (Million Parameters),"Memory Usage (GB, fp32)",Average,AFQMC,ATEC,BQ,LCQMC,PAWSX,QBQTC,STS22 (zh),STSB,Subset,Task category
31,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-base-zh-v1.5"">bge-base-zh-v1.5</a>",102,0.38,53.72,42.4,48.17,61.78,74.45,20.4,36.22,68.01,78.31,zh,STS
32,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-large-zh-noinstruct"">bge-large-zh-noinstruct</a>",326,1.21,53.0,43.06,48.29,60.53,74.71,16.64,35.2,67.19,78.41,zh,STS
33,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ClayAtlas/winberta-base"">winberta-base</a>",,,51.45,44.25,48.24,56.27,74.09,12.18,29.94,66.06,80.54,zh,STS
34,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/neofung/m3e-ernie-xbase-zh"">m3e-ernie-xbase-zh</a>",,,50.54,37.4,42.16,70.96,73.27,18.55,29.6,65.44,66.91,zh,STS
35,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/moka-ai/m3e-base"">m3e-base</a>",102,0.38,50.47,35.87,41.27,63.81,74.88,12.19,32.07,66.73,76.97,zh,STS
36,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/moka-ai/m3e-large"">m3e-large</a>",102,0.38,50.42,36.53,41.8,65.2,74.2,15.95,32.65,62.91,74.16,zh,STS
37,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-mistral-7b-instruct"">e5-mistral-7b-instruct</a>",7111,26.49,50.22,38.99,42.84,50.64,75.48,16.81,31.8,63.4,81.81,zh,STS
38,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/thenlper/gte-small-zh"">gte-small-zh</a>",15,0.06,49.72,36.69,45.77,49.64,72.72,12.77,36.97,66.72,76.51,zh,STS
39,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-small-zh-v1.5"">bge-small-zh-v1.5</a>",24,0.09,49.1,33.42,43.01,55.22,72.19,9.26,35.29,67.72,76.73,zh,STS
40,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-large"">multilingual-e5-large</a>",560,2.09,48.29,33.02,39.81,46.44,75.95,14.63,29.77,65.64,81.08,zh,STS
41,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-base"">multilingual-e5-base</a>",278,1.04,46.49,29.67,37.01,45.45,74.15,12.14,28.81,65.64,79.05,zh,STS
42,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-1b1"">udever-bloom-1b1</a>",,,45.6,27.98,35.86,46.23,72.8,15.66,32.65,54.08,79.53,zh,STS
43,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-small"">multilingual-e5-small</a>",118,0.44,45.27,25.21,35.14,43.27,72.7,11.01,30.25,66.84,77.73,zh,STS
44,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/GanymedeNil/text2vec-large-chinese"">text2vec-large-chinese</a>",326,1.21,44.97,24.51,32.45,44.22,69.16,14.55,29.51,65.94,79.45,zh,STS
45,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/DMetaSoul/sbert-chinese-general-v1"">sbert-chinese-general-v1</a>",102,0.38,43.62,22.57,30.3,40.98,68.4,15.08,27.92,61.58,82.17,zh,STS
46,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/shibing624/text2vec-base-chinese"">text2vec-base-chinese</a>",102,0.38,43.41,26.06,31.93,42.67,70.16,17.21,24.62,55.35,79.3,zh,STS
47,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/new-and-improved-embedding-model"">text-embedding-ada-002</a>",,,43.35,23.88,29.25,45.33,68.41,16.55,30.27,62.53,70.61,zh,STS
48,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/silk-road/luotuo-bert-medium"">luotuo-bert-medium</a>",328,1.22,42.78,22.24,30.84,43.33,66.74,12.31,27.2,66.4,73.22,zh,STS
49,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-560m"">udever-bloom-560m</a>",,,42.57,25.32,33.46,43.93,71.98,14.23,32.92,40.97,77.77,zh,STS
50,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/EdwardBurgin/paraphrase-multilingual-mpnet-base-v2"">paraphrase-multilingual-mpnet-base-v2</a>",,,39.11,15.69,20.27,36.33,63.3,12.16,22.53,61.75,80.84,zh,STS
51,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/facebook/SONAR"">SONAR</a>",,,36.48,17.63,26.18,37.66,50.11,32.75,24.48,52.82,50.18,zh,STS
52,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/thtang/ALL_862873"">ALL_862873</a>",118,0.44,20.86,3.76,10.09,19.31,42.15,6.14,6.12,33.7,45.6,zh,STS
63,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://github.com/facebookresearch/LASER"">LASER2</a>",43,0.16,,,,,,,,49.41,,zh,STS
81,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Kenknight1999/test_ver_2"">test_ver_2</a>",560,2.09,,,,,,,,66.82,,zh,STS
82,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Kenknight1999/tungdd7_ft_e5"">tungdd7_ft_e5</a>",560,2.09,,,,,,,,66.82,,zh,STS
83,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ManiShankar-AlpesAi/paraphrase-multilingual-mpnet-base-v2-KE_Sieve"">paraphrase-multilingual-mpnet-base-v2-KE_Sieve</a>",,,,,,,,,,60.0,,zh,STS
100,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Muennighoff/SGPT-125M-weightedmean-msmarco-specb-bitfit"">SGPT-125M-weightedmean-msmarco-specb-bitfit</a>",138,0.51,,,,,,,,25.49,,zh,STS
101,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Muennighoff/SGPT-125M-weightedmean-nli-bitfit"">SGPT-125M-weightedmean-nli-bitfit</a>",138,0.51,,,,,,,,6.52,,zh,STS
124,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/amazon/Titan-text-embeddings-v2"">Titan-text-embeddings-v2</a>",,,,,,,,,,64.04,,zh,STS
133,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/bigscience-data/sgpt-bloom-1b7-nli"">sgpt-bloom-1b7-nli</a>",1722,6.42,,,,,,,,58.54,,zh,STS
134,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/bigscience/sgpt-bloom-7b1-msmarco"">sgpt-bloom-7b1-msmarco</a>",7068,26.33,,,,,,,,66.78,,zh,STS
159,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-3b"">udever-bloom-3b</a>",3003,11.19,,30.55,37.35,47.17,75.32,17.46,33.7,,81.52,zh,STS
160,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-7b1"">udever-bloom-7b1</a>",7069,26.33,,31.87,38.8,47.67,75.34,17.25,34.48,,82.03,zh,STS
200,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/LaBSE"">LaBSE</a>",471,1.75,,,,,,,,63.02,,zh,STS
201,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/all-MiniLM-L12-v2"">all-MiniLM-L12-v2</a>",33,0.12,,,,,,,,33.15,,zh,STS
202,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2"">all-MiniLM-L6-v2</a>",23,0.09,,,,,,,,44.93,,zh,STS
204,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/allenai-specter"">allenai-specter</a>",110,0.41,,,,,,,,16.35,,zh,STS
206,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/average_word_embeddings_komninos"">komninos</a>",134,0.5,,,,,,,,4.78,,zh,STS
207,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/distiluse-base-multilingual-cased-v2"">distiluse-base-multilingual-cased-v2</a>",135,0.5,,,,,,,,54.32,,zh,STS
209,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/gtr-t5-large"">gtr-t5-large</a>",168,0.63,,,,,,,,27.32,,zh,STS
210,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/gtr-t5-xl"">gtr-t5-xl</a>",1240,4.62,,,,,,,,31.16,,zh,STS
216,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-base"">sentence-t5-base</a>",110,0.41,,,,,,,,32.9,,zh,STS
217,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-large"">sentence-t5-large</a>",168,0.63,,,,,,,,30.47,,zh,STS
218,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-xl"">sentence-t5-xl</a>",1240,4.62,,,,,,,,33.55,,zh,STS
220,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/shibing624/text2vec-base-multilingual"">text2vec-base-multilingual</a>",118,0.44,,,,,,,,63.24,,zh,STS
