Rank,Model,Model Size (Million Parameters),"Memory Usage (GB, fp32)",Average,AmazonReviewsClassification (zh),IFlyTek,JDReview,MassiveIntentClassification (zh-CN),MassiveScenarioClassification (zh-CN),MultilingualSentiment,OnlineShopping,TNews,Waimai,Subset,Task category
22,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/amu/tao-8k"">tao-8k</a>",167,0.62,69.05,40.8,47.99,87.02,68.26,73.13,73.39,91.81,51.93,87.1,zh,Classification
23,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/neofung/m3e-ernie-xbase-zh"">m3e-ernie-xbase-zh</a>",,,68.83,47.79,44.86,88.48,61.29,66.9,78.46,92.58,50.02,89.09,zh,Classification
24,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-large-zh-noinstruct"">bge-large-zh-noinstruct</a>",326,1.21,68.58,41.94,45.32,85.38,66.96,73.39,73.7,91.66,52.05,86.83,zh,Classification
25,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/infgrad/stella-base-zh-v2"">stella-base-zh-v2</a>",51,0.19,68.29,39.64,47.9,84.78,68.09,73.22,71.67,91.38,51.25,86.68,zh,Classification
26,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Erin/mist-zh"">mist-zh</a>",51,0.19,68.21,39.32,47.96,84.9,67.65,72.97,71.54,91.3,51.56,86.66,zh,Classification
27,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/moka-ai/m3e-large"">m3e-large</a>",102,0.38,68.2,44.44,43.96,86.92,67.23,74.88,72.47,89.59,48.26,86.08,zh,Classification
28,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-base-zh-v1.5"">bge-base-zh-v1.5</a>",102,0.38,68.07,40.15,48.62,83.62,67.93,73.98,70.67,91.26,51.08,85.36,zh,Classification
29,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ClayAtlas/winberta-large"">winberta-large</a>",,,67.89,42.04,46.3,77.3,70.82,75.21,71.67,91.53,50.17,85.98,zh,Classification
30,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/infgrad/stella-base-zh"">stella-base-zh</a>",51,0.19,67.77,40.25,47.46,84.99,65.56,71.49,72.48,90.34,50.78,86.62,zh,Classification
31,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/infgrad/stella-large-zh"">stella-large-zh</a>",163,0.61,67.62,40.57,47.03,86.74,64.02,68.95,73.03,90.75,50.69,86.77,zh,Classification
32,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/moka-ai/m3e-base"">m3e-base</a>",102,0.38,67.52,43.02,44.42,85.33,68.4,74.6,71.9,87.77,48.28,83.99,zh,Classification
33,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-large"">multilingual-e5-large</a>",560,2.09,67.34,38.83,45.47,80.99,71.12,76.83,68.58,90.81,48.38,85.02,zh,Classification
34,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ClayAtlas/winberta-base"">winberta-base</a>",,,67.08,39.68,47.0,77.34,70.98,75.69,69.17,89.79,49.77,84.34,zh,Classification
35,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sensenova/piccolo-large-zh"">piccolo-large-zh</a>",163,0.61,67.03,40.33,44.25,86.1,68.0,72.08,70.15,90.27,46.54,85.54,zh,Classification
36,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sensenova/piccolo-base-zh"">piccolo-base-zh</a>",51,0.19,66.98,40.24,44.35,84.26,68.97,73.32,70.25,89.93,46.81,84.7,zh,Classification
37,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-small"">multilingual-e5-small</a>",118,0.44,65.85,37.5,47.35,79.34,68.24,74.47,64.74,88.73,48.38,83.9,zh,Classification
38,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-base"">multilingual-e5-base</a>",278,1.04,65.35,37.23,44.93,76.21,69.16,75.42,65.28,88.4,47.06,84.42,zh,Classification
39,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-1b1"">udever-bloom-1b1</a>",,,65.31,38.12,43.52,81.09,66.91,74.72,66.33,88.35,46.08,82.67,zh,Classification
40,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jinaai/jina-embeddings-v2-base-zh"">jina-embeddings-v2-base-zh</a>",161,0.6,64.94,34.94,47.36,79.57,68.2,71.93,63.29,87.0,47.65,84.54,zh,Classification
41,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/thenlper/gte-small-zh"">gte-small-zh</a>",15,0.06,64.49,38.69,41.15,82.83,59.28,66.48,68.2,89.13,49.65,84.96,zh,Classification
42,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentosa/ZNV-Embedding"">ZNV-Embedding</a>",6061,22.58,64.37,29.75,50.93,84.93,67.46,71.6,55.9,82.53,55.08,81.16,zh,Classification
43,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/new-and-improved-embedding-model"">text-embedding-ada-002</a>",,,64.31,38.3,44.62,74.6,64.81,71.4,67.99,88.94,45.77,82.37,zh,Classification
44,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-small-zh-v1.5"">bge-small-zh-v1.5</a>",24,0.09,63.96,35.91,45.49,80.04,63.95,70.8,63.06,85.05,48.15,83.18,zh,Classification
45,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-560m"">udever-bloom-560m</a>",,,62.85,35.7,40.46,78.26,63.75,72.39,63.17,87.11,44.15,80.65,zh,Classification
46,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/EdwardBurgin/paraphrase-multilingual-mpnet-base-v2"">paraphrase-multilingual-mpnet-base-v2</a>",,,62.7,38.25,43.13,69.08,61.23,68.12,67.83,88.13,44.42,84.15,zh,Classification
47,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/DMetaSoul/sbert-chinese-general-v1"">sbert-chinese-general-v1</a>",102,0.38,62.54,37.51,44.88,82.2,57.34,62.36,66.58,88.19,39.8,83.96,zh,Classification
48,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/shibing624/text2vec-base-chinese"">text2vec-base-chinese</a>",102,0.38,62.19,34.12,42.05,82.14,63.98,70.52,60.98,85.69,43.01,77.22,zh,Classification
49,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/silk-road/luotuo-bert-medium"">luotuo-bert-medium</a>",328,1.22,61.0,34.46,41.75,79.68,57.47,65.32,61.21,84.3,45.22,79.57,zh,Classification
50,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/GanymedeNil/text2vec-large-chinese"">text2vec-large-chinese</a>",326,1.21,60.66,33.77,41.54,81.56,63.23,68.45,58.97,83.51,38.92,76.01,zh,Classification
51,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/facebook/SONAR"">SONAR</a>",,,57.87,31.91,38.01,69.59,62.08,68.88,57.69,75.64,40.95,76.12,zh,Classification
52,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/thtang/ALL_862873"">ALL_862873</a>",118,0.44,38.04,21.96,20.35,55.5,25.39,40.35,38.94,56.89,26.79,56.22,zh,Classification
63,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://github.com/facebookresearch/LASER"">LASER2</a>",43,0.16,,30.89,,,40.62,50.22,,,,,zh,Classification
81,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Kenknight1999/test_ver_2"">test_ver_2</a>",560,2.09,,38.83,,,71.12,76.83,,,,,zh,Classification
82,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Kenknight1999/tungdd7_ft_e5"">tungdd7_ft_e5</a>",560,2.09,,38.83,,,71.12,76.83,,,,,zh,Classification
100,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Muennighoff/SGPT-125M-weightedmean-msmarco-specb-bitfit"">SGPT-125M-weightedmean-msmarco-specb-bitfit</a>",138,0.51,,24.27,,,46.24,49.38,,,,,zh,Classification
101,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Muennighoff/SGPT-125M-weightedmean-nli-bitfit"">SGPT-125M-weightedmean-nli-bitfit</a>",138,0.51,,23.98,,,45.78,48.55,,,,,zh,Classification
104,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Muennighoff/SGPT-5.8B-weightedmean-nli-bitfit"">SGPT-5.8B-weightedmean-nli-bitfit</a>",5874,21.88,,33.75,,,,,,,,,zh,Classification
124,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/amazon/Titan-text-embeddings-v2"">Titan-text-embeddings-v2</a>",,,,36.07,,,63.4,69.58,,,,,zh,Classification
133,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/bigscience-data/sgpt-bloom-1b7-nli"">sgpt-bloom-1b7-nli</a>",1722,6.42,,37.63,,,,,,,,,zh,Classification
134,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/bigscience/sgpt-bloom-7b1-msmarco"">sgpt-bloom-7b1-msmarco</a>",7068,26.33,,32.63,,,67.07,73.95,,,,,zh,Classification
158,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-large-instruct"">multilingual-e5-large-instruct</a>",560,2.09,,44.66,,,73.32,78.7,,,,,zh,Classification
159,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-3b"">udever-bloom-3b</a>",3003,11.19,,,45.03,83.64,,,67.17,90.41,47.7,84.07,zh,Classification
160,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-7b1"">udever-bloom-7b1</a>",7069,26.33,,,46.23,84.17,,,68.36,90.93,47.8,84.68,zh,Classification
199,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/LaBSE"">LaBSE</a>",471,1.75,,36.45,,,63.86,70.85,,,,,zh,Classification
200,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/all-MiniLM-L12-v2"">all-MiniLM-L12-v2</a>",33,0.12,,22.99,,,23.74,33.18,,,,,zh,Classification
203,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/allenai-specter"">allenai-specter</a>",110,0.41,,20.49,,,2.81,9.19,,,,,zh,Classification
206,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/distiluse-base-multilingual-cased-v2"">distiluse-base-multilingual-cased-v2</a>",135,0.5,,33.89,,,59.22,66.44,,,,,zh,Classification
208,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/gtr-t5-large"">gtr-t5-large</a>",168,0.63,,21.83,,,2.41,3.84,,,,,zh,Classification
209,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/gtr-t5-xl"">gtr-t5-xl</a>",1240,4.62,,21.89,,,1.72,5.21,,,,,zh,Classification
213,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2"">paraphrase-multilingual-MiniLM-L12-v2</a>",118,0.44,,35.26,,,,,,,,,zh,Classification
214,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/paraphrase-multilingual-mpnet-base-v2"">paraphrase-multilingual-mpnet-base-v2</a>",278,1.04,,37.74,,,,,,,,,zh,Classification
215,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-base"">sentence-t5-base</a>",110,0.41,,21.53,,,1.12,4.17,,,,,zh,Classification
216,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-large"">sentence-t5-large</a>",168,0.63,,22.12,,,1.09,4.7,,,,,zh,Classification
217,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-xl"">sentence-t5-xl</a>",1240,4.62,,21.88,,,0.59,5.86,,,,,zh,Classification
219,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/shibing624/text2vec-base-multilingual"">text2vec-base-multilingual</a>",118,0.44,,32.52,,,60.86,65.83,,,,,zh,Classification
