Rank,Model,Model Size (Million Parameters),"Memory Usage (GB, fp32)",Average,CLSClusteringP2P,CLSClusteringS2S,ThuNewsClusteringP2P,ThuNewsClusteringS2S,Subset,Task category
43,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-small-zh-v1.5"">bge-small-zh-v1.5</a>",24,0.09,44.18,38.14,35.14,54.22,49.22,zh,Clustering
44,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-3b"">udever-bloom-3b</a>",3003,11.19,43.24,36.73,36.45,50.24,49.54,zh,Clustering
45,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-1b1"">udever-bloom-1b1</a>",,,42.42,35.36,37.07,48.91,48.34,zh,Clustering
46,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-560m"">udever-bloom-560m</a>",,,42.42,35.21,35.12,51.03,48.32,zh,Clustering
47,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-7b1"">udever-bloom-7b1</a>",7069,26.33,42.32,36.0,36.35,49.19,47.76,zh,Clustering
48,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-base"">multilingual-e5-base</a>",278,1.04,40.68,32.41,36.99,40.98,52.36,zh,Clustering
49,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/EdwardBurgin/paraphrase-multilingual-mpnet-base-v2"">paraphrase-multilingual-mpnet-base-v2</a>",,,39.67,39.24,35.36,47.3,36.77,zh,Clustering
50,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/shibing624/text2vec-base-chinese"">text2vec-base-chinese</a>",102,0.38,37.66,35.27,32.42,42.92,40.01,zh,Clustering
51,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/facebook/SONAR"">SONAR</a>",,,34.44,27.43,28.32,38.54,43.45,zh,Clustering
52,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/DMetaSoul/sbert-chinese-general-v1"">sbert-chinese-general-v1</a>",102,0.38,31.8,34.98,27.82,40.17,24.23,zh,Clustering
53,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/GanymedeNil/text2vec-large-chinese"">text2vec-large-chinese</a>",326,1.21,30.02,30.13,28.77,35.05,26.14,zh,Clustering
54,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/thtang/ALL_862873"">ALL_862873</a>",118,0.44,18.34,18.66,16.82,20.69,17.19,zh,Clustering
