Rank,Model,Model Size (Million Parameters),"Memory Usage (GB, fp32)",Average,CDSC-R,SICK-R-PL,STS22 (pl),Subset,Task category
13,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ipipan/silver-retriever-base-v1"">silver-retriever-base-v1</a>",125.0,0.47,65.01,89.09,67.26,38.69,pl,STS
14,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2"">paraphrase-multilingual-MiniLM-L12-v2</a>",118.0,0.44,63.83,88.98,68.77,33.73,pl,STS
15,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/LaBSE"">LaBSE</a>",471.0,1.75,63.57,85.53,65.9,39.28,pl,STS
16,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ipipan/herbert-base-retrieval-v2"">herbert-base-retrieval-v2</a>",125.0,0.47,63.53,86.18,64.67,39.73,pl,STS
17,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/distiluse-base-multilingual-cased-v2"">distiluse-base-multilingual-cased-v2</a>",135.0,0.5,62.59,87.67,65.53,34.58,pl,STS
18,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/facebook/SONAR"">SONAR</a>",,,58.02,85.77,62.98,25.31,pl,STS
19,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://github.com/facebookresearch/LASER"">LASER2</a>",43.0,0.16,,,,18.34,pl,STS
23,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Kenknight1999/test_ver_2"">test_ver_2</a>",560.0,2.09,,,,34.68,pl,STS
24,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Kenknight1999/tungdd7_ft_e5"">tungdd7_ft_e5</a>",560.0,2.09,,,,34.68,pl,STS
25,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ManiShankar-AlpesAi/paraphrase-multilingual-mpnet-base-v2-KE_Sieve"">paraphrase-multilingual-mpnet-base-v2-KE_Sieve</a>",,,,,,36.37,pl,STS
26,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Muennighoff/SGPT-125M-weightedmean-msmarco-specb-bitfit"">SGPT-125M-weightedmean-msmarco-specb-bitfit</a>",138.0,0.51,,,,23.31,pl,STS
27,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Muennighoff/SGPT-125M-weightedmean-nli-bitfit"">SGPT-125M-weightedmean-nli-bitfit</a>",138.0,0.51,,,,14.91,pl,STS
28,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/amazon/Titan-text-embeddings-v2"">Titan-text-embeddings-v2</a>",,,,,,42.08,pl,STS
29,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/bigscience/sgpt-bloom-7b1-msmarco"">sgpt-bloom-7b1-msmarco</a>",7068.0,26.33,,,,31.13,pl,STS
30,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-mistral-7b-instruct"">e5-mistral-7b-instruct</a>",7111.0,26.49,,,,39.21,pl,STS
32,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-1b1"">udever-bloom-1b1</a>",1065.0,3.97,,,,27.98,pl,STS
33,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-560m"">udever-bloom-560m</a>",559.0,2.08,,,,15.06,pl,STS
34,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/all-MiniLM-L12-v2"">all-MiniLM-L12-v2</a>",33.0,0.12,,,,19.22,pl,STS
35,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2"">all-MiniLM-L6-v2</a>",23.0,0.09,,,,26.77,pl,STS
36,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/allenai-specter"">allenai-specter</a>",110.0,0.41,,,,13.56,pl,STS
37,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/average_word_embeddings_komninos"">komninos</a>",134.0,0.5,,,,12.47,pl,STS
38,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/gtr-t5-large"">gtr-t5-large</a>",168.0,0.63,,,,30.68,pl,STS
39,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/gtr-t5-xl"">gtr-t5-xl</a>",1240.0,4.62,,,,33.74,pl,STS
40,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-base"">sentence-t5-base</a>",110.0,0.41,,,,24.42,pl,STS
41,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-large"">sentence-t5-large</a>",168.0,0.63,,,,25.0,pl,STS
42,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-xl"">sentence-t5-xl</a>",1240.0,4.62,,,,27.04,pl,STS
43,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/shibing624/text2vec-base-multilingual"">text2vec-base-multilingual</a>",118.0,0.44,,,,34.81,pl,STS
