Rank,Model,Model Size (Million Parameters),"Memory Usage (GB, fp32)",Average,BUCC (de-en),BUCC (fr-en),BUCC (ru-en),BUCC (zh-en),Tatoeba (afr-eng),Tatoeba (amh-eng),Tatoeba (ang-eng),Tatoeba (ara-eng),Tatoeba (arq-eng),Tatoeba (arz-eng),Tatoeba (ast-eng),Tatoeba (awa-eng),Tatoeba (aze-eng),Tatoeba (bel-eng),Tatoeba (ben-eng),Tatoeba (ber-eng),Tatoeba (bos-eng),Tatoeba (bre-eng),Tatoeba (bul-eng),Tatoeba (cat-eng),Tatoeba (cbk-eng),Tatoeba (ceb-eng),Tatoeba (ces-eng),Tatoeba (cha-eng),Tatoeba (cmn-eng),Tatoeba (cor-eng),Tatoeba (csb-eng),Tatoeba (cym-eng),Tatoeba (dan-eng),Tatoeba (deu-eng),Tatoeba (dsb-eng),Tatoeba (dtp-eng),Tatoeba (ell-eng),Tatoeba (epo-eng),Tatoeba (est-eng),Tatoeba (eus-eng),Tatoeba (fao-eng),Tatoeba (fin-eng),Tatoeba (fra-eng),Tatoeba (fry-eng),Tatoeba (gla-eng),Tatoeba (gle-eng),Tatoeba (glg-eng),Tatoeba (gsw-eng),Tatoeba (heb-eng),Tatoeba (hin-eng),Tatoeba (hrv-eng),Tatoeba (hsb-eng),Tatoeba (hun-eng),Tatoeba (hye-eng),Tatoeba (ido-eng),Tatoeba (ile-eng),Tatoeba (ina-eng),Tatoeba (ind-eng),Tatoeba (isl-eng),Tatoeba (ita-eng),Tatoeba (jav-eng),Tatoeba (jpn-eng),Tatoeba (kab-eng),Tatoeba (kat-eng),Tatoeba (kaz-eng),Tatoeba (khm-eng),Tatoeba (kor-eng),Tatoeba (kur-eng),Tatoeba (kzj-eng),Tatoeba (lat-eng),Tatoeba (lfn-eng),Tatoeba (lit-eng),Tatoeba (lvs-eng),Tatoeba (mal-eng),Tatoeba (mar-eng),Tatoeba (max-eng),Tatoeba (mhr-eng),Tatoeba (mkd-eng),Tatoeba (mon-eng),Tatoeba (nds-eng),Tatoeba (nld-eng),Tatoeba (nno-eng),Tatoeba (nob-eng),Tatoeba (nov-eng),Tatoeba (oci-eng),Tatoeba (orv-eng),Tatoeba (pam-eng),Tatoeba (pes-eng),Tatoeba (pms-eng),Tatoeba (pol-eng),Tatoeba (por-eng),Tatoeba (ron-eng),Tatoeba (rus-eng),Tatoeba (slk-eng),Tatoeba (slv-eng),Tatoeba (spa-eng),Tatoeba (sqi-eng),Tatoeba (srp-eng),Tatoeba (swe-eng),Tatoeba (swg-eng),Tatoeba (swh-eng),Tatoeba (tam-eng),Tatoeba (tat-eng),Tatoeba (tel-eng),Tatoeba (tgl-eng),Tatoeba (tha-eng),Tatoeba (tuk-eng),Tatoeba (tur-eng),Tatoeba (tzl-eng),Tatoeba (uig-eng),Tatoeba (ukr-eng),Tatoeba (urd-eng),Tatoeba (uzb-eng),Tatoeba (vie-eng),Tatoeba (war-eng),Tatoeba (wuu-eng),Tatoeba (xho-eng),Tatoeba (yid-eng),Tatoeba (yue-eng),Tatoeba (zsm-eng),Subset,Task category
11,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/paraphrase-multilingual-mpnet-base-v2"">paraphrase-multilingual-mpnet-base-v2</a>",278.0,1.04,63.38,98.59,96.89,96.44,97.56,72.96,53.49,16.72,90.19,19.84,55.69,70.08,42.83,76.36,79.94,64.9,4.88,94.02,6.42,93.52,96.05,58.68,7.39,95.73,12.59,95.83,3.53,23.73,22.31,96.17,97.73,36.85,5.03,94.93,55.12,98.4,31.33,38.24,95.92,93.12,43.54,4.72,16.85,95.32,25.12,88.26,97.75,97.0,44.32,94.18,94.38,43.91,60.36,84.32,93.5,59.25,93.76,23.39,92.51,1.41,95.46,61.49,58.8,93.07,61.44,5.88,24.25,49.56,95.37,97.53,88.46,93.83,48.77,7.57,93.02,96.14,38.88,95.5,81.41,98.53,50.23,43.49,23.77,5.39,93.47,34.19,96.95,93.02,96.43,92.92,96.62,97.08,97.0,98.57,94.12,95.45,22.8,16.02,73.6,10.89,79.73,17.67,95.99,14.91,96.17,34.21,48.35,92.67,95.12,23.19,97.23,7.42,78.25,6.53,30.73,77.58,95.8,en-x,BitextMining
12,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2"">paraphrase-multilingual-MiniLM-L12-v2</a>",118.0,0.44,57.98,97.11,94.99,95.06,95.63,58.22,36.21,10.24,87.93,18.6,51.26,62.17,33.43,62.1,67.73,36.48,4.43,93.27,5.56,92.65,94.42,55.37,8.05,95.12,15.98,94.93,3.42,21.56,13.25,94.8,97.02,33.43,5.69,95.43,41.73,97.33,23.18,27.51,93.1,91.72,31.13,3.61,11.62,94.0,25.74,86.88,97.62,95.98,36.1,91.58,93.28,40.25,57.71,79.13,92.74,24.07,93.05,17.04,90.41,1.16,95.44,34.89,32.11,92.52,46.94,6.24,19.47,47.02,93.16,97.87,32.2,92.38,45.25,6.89,91.0,95.04,32.16,94.58,76.34,97.73,47.99,38.57,15.1,5.41,92.59,30.7,94.28,92.13,95.3,91.87,95.15,96.92,95.42,98.17,92.24,94.42,26.31,14.48,24.64,10.25,36.4,13.09,96.72,15.16,95.08,25.46,24.39,92.82,94.57,17.14,95.12,7.25,76.0,4.52,14.38,71.45,95.31,en-x,BitextMining
13,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/amazon/Titan-text-embeddings-v2"">Titan-text-embeddings-v2</a>",,,40.27,98.18,98.04,94.58,96.75,50.58,0.36,30.89,79.65,20.68,56.04,55.81,41.58,27.78,41.21,20.85,5.5,36.73,5.46,60.26,63.42,56.73,10.46,81.81,22.8,86.13,3.87,20.52,9.1,72.49,96.57,28.3,3.87,10.43,30.54,7.43,11.67,21.34,18.11,89.39,37.73,4.23,4.4,74.27,37.04,72.4,82.06,34.63,37.13,13.18,0.37,48.29,61.81,78.25,54.64,12.45,81.99,9.0,86.92,1.95,0.76,9.15,0.35,75.76,13.51,5.8,21.15,47.49,10.45,10.72,74.47,67.35,22.52,4.3,34.72,10.95,49.47,87.22,56.01,79.21,54.06,39.12,19.65,4.84,45.04,34.32,83.35,89.38,59.11,84.96,65.42,35.88,93.12,15.39,35.41,86.33,36.39,7.78,65.79,6.67,65.37,17.86,3.16,9.61,77.38,26.1,1.31,65.33,6.6,7.86,50.44,10.67,70.58,9.53,1.46,51.32,54.61,en-x,BitextMining
14,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-7b1"">udever-bloom-7b1</a>",7069.0,26.33,37.12,87.71,98.41,78.75,98.77,22.56,0.1,34.68,90.62,37.21,74.8,68.37,53.01,8.16,18.49,83.89,5.17,19.28,7.41,28.46,90.24,61.49,9.08,12.99,26.96,95.7,3.86,11.04,8.32,33.6,85.06,15.0,5.26,13.08,33.92,5.61,74.53,14.42,5.48,94.32,32.37,3.1,3.91,82.55,23.7,7.49,94.88,17.75,13.31,6.65,0.92,47.84,63.65,83.73,91.91,8.0,74.96,22.26,83.88,1.54,1.48,9.66,0.7,44.79,12.5,6.3,46.75,46.48,5.87,8.58,95.05,71.56,41.45,3.25,15.58,7.37,29.88,49.85,20.79,31.94,54.93,45.74,8.44,7.03,21.59,36.58,20.27,94.43,33.85,71.23,12.3,13.06,98.13,15.33,18.75,27.82,29.18,27.81,81.87,4.96,80.56,11.19,6.78,6.85,8.96,32.7,2.02,31.12,82.87,8.28,95.83,11.23,87.91,7.96,0.49,89.39,88.11,en-x,BitextMining
15,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-3b"">udever-bloom-3b</a>",3003.0,11.19,34.17,71.06,98.17,58.45,98.6,18.66,0.46,27.44,88.21,29.24,73.17,71.25,46.87,7.61,12.17,80.65,5.53,14.99,6.14,26.9,91.17,63.69,8.15,8.29,22.58,95.08,4.0,10.26,8.46,24.91,72.73,12.44,5.41,6.72,28.07,5.63,63.81,12.9,5.83,93.53,29.09,4.13,4.53,80.98,19.31,1.92,92.87,13.69,12.35,5.57,1.56,45.82,64.41,83.88,90.54,6.93,73.39,19.8,73.95,1.92,0.71,6.75,0.09,29.16,11.84,5.99,38.34,48.25,5.82,6.95,93.12,65.18,40.88,2.88,13.93,4.48,24.45,36.81,16.07,22.79,53.3,41.08,5.61,7.18,17.01,32.19,14.83,93.62,30.35,62.61,11.36,10.89,97.77,13.17,15.09,21.73,22.77,25.43,84.66,4.92,79.3,10.75,3.08,5.83,7.14,31.64,1.0,25.42,76.77,5.91,96.05,10.73,84.6,7.79,0.28,86.38,85.22,en-x,BitextMining
16,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/bigscience/sgpt-bloom-7b1-msmarco"">sgpt-bloom-7b1-msmarco</a>",7068.0,26.33,31.08,54.0,97.06,45.3,97.96,16.62,0.03,28.76,85.37,27.75,70.66,71.13,35.01,6.32,8.03,75.98,4.92,13.65,4.67,20.09,88.31,64.63,6.64,9.55,23.26,91.45,2.83,10.03,6.97,23.52,70.1,8.78,3.41,5.34,26.2,4.76,53.38,12.61,3.41,91.44,24.62,2.09,3.26,79.86,21.03,1.69,85.23,12.79,9.68,5.07,0.5,43.91,59.59,73.67,88.04,6.29,65.04,15.02,71.36,1.69,0.42,3.32,0.37,22.39,8.26,5.17,28.76,44.85,4.49,6.55,83.3,45.53,36.14,1.56,10.47,2.85,23.92,29.74,16.28,21.07,52.23,40.17,5.79,5.85,12.13,31.94,14.09,92.62,27.23,59.84,9.98,10.14,94.48,10.38,11.69,19.53,16.89,16.74,72.76,3.59,64.62,10.7,2.22,5.48,6.15,27.82,1.27,22.06,70.1,4.71,94.2,10.38,79.58,5.51,0.16,77.03,79.95,en-x,BitextMining
17,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-1b1"">udever-bloom-1b1</a>",1065.0,3.97,29.85,42.03,97.71,24.11,98.24,14.54,0.12,19.43,86.43,26.28,66.01,68.16,45.66,6.63,9.62,78.76,4.58,11.93,5.35,14.25,84.54,61.04,7.75,5.64,22.9,93.97,3.13,9.04,7.77,17.55,53.27,9.57,3.82,2.34,23.11,4.47,59.64,9.42,4.27,92.77,25.34,2.99,3.96,75.92,21.86,0.69,91.53,9.73,9.78,4.3,0.65,39.15,56.08,74.59,88.3,5.46,55.97,18.6,65.97,1.14,0.91,4.7,0.01,12.56,10.65,4.78,27.65,41.94,4.83,5.53,85.56,52.67,39.38,2.38,6.19,4.79,17.76,25.15,13.33,17.67,49.14,39.02,3.07,5.68,13.51,27.6,9.61,92.52,23.2,40.27,8.52,8.1,96.05,12.07,8.76,14.94,21.63,16.31,77.3,2.86,69.05,8.63,1.64,5.14,5.09,31.31,1.68,14.32,68.96,5.15,94.57,8.07,81.18,8.3,0.12,81.35,81.48,en-x,BitextMining
18,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-560m"">udever-bloom-560m</a>",559.0,2.08,24.03,11.3,96.18,1.59,96.16,9.01,0.21,13.31,80.09,16.16,49.42,59.96,30.54,3.44,3.28,70.14,3.92,9.17,3.85,4.58,81.55,55.71,5.64,3.76,16.46,92.95,3.13,5.26,5.87,11.4,29.34,5.83,3.37,0.89,13.42,3.08,42.35,8.3,3.5,91.65,18.1,2.73,3.46,69.26,17.5,0.25,85.35,6.27,6.8,3.25,0.23,26.21,44.24,63.9,85.46,3.27,37.29,14.35,48.83,0.89,0.4,0.74,0.15,2.65,6.48,3.39,19.55,37.52,3.17,3.53,73.36,47.23,33.46,0.44,2.77,0.85,11.83,16.33,8.05,11.91,38.78,29.39,0.54,3.78,5.87,17.49,5.63,92.08,14.95,25.22,5.49,5.41,95.48,8.49,4.55,10.72,16.44,14.52,62.26,0.97,35.84,6.52,0.51,2.81,3.49,14.52,0.53,4.93,61.62,2.54,92.86,7.19,74.62,4.83,0.19,74.35,74.89,en-x,BitextMining
19,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-xl"">sentence-t5-xl</a>",1240.0,4.62,21.98,95.04,94.96,8.33,1.3,41.84,0.03,37.87,0.61,0.74,0.42,65.41,1.46,8.79,5.76,0.01,5.92,16.12,6.12,9.06,57.4,57.68,12.56,9.47,27.13,1.82,3.87,14.41,6.69,54.87,93.72,14.74,5.84,0.6,30.8,5.39,11.9,28.08,6.81,85.29,38.68,2.96,3.74,70.0,30.49,0.87,0.1,17.43,14.69,7.28,0.77,46.65,59.43,82.71,37.26,11.21,79.77,7.81,0.91,2.23,1.48,1.77,0.38,1.96,12.11,6.13,27.84,45.89,5.94,8.11,0.59,0.03,21.7,0.68,5.92,2.39,45.04,64.75,36.74,54.77,57.12,34.39,2.04,8.34,0.87,38.06,28.35,83.61,65.27,30.42,13.19,13.49,89.18,14.66,13.24,60.67,34.76,8.07,0.36,1.46,0.67,25.22,1.58,4.99,7.72,38.49,0.87,9.12,0.0,5.48,8.45,13.75,1.44,9.15,0.28,0.98,35.71,en-x,BitextMining
20,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/gtr-t5-xl"">gtr-t5-xl</a>",1240.0,4.62,19.48,90.99,88.55,2.07,1.49,33.47,0.01,30.74,0.47,0.34,0.14,51.74,0.49,7.43,3.45,0.06,5.79,17.43,5.69,7.55,48.06,54.56,8.72,8.76,27.56,2.26,3.69,13.18,6.97,47.36,91.54,13.2,4.54,0.55,27.86,5.13,10.23,21.44,6.62,79.66,32.92,2.87,3.26,63.81,29.71,0.33,0.25,17.16,12.02,7.21,0.78,40.83,54.95,72.28,30.95,11.29,73.83,8.66,0.61,1.78,0.79,0.95,0.49,1.87,10.91,5.72,18.24,43.49,7.13,7.04,0.44,0.03,18.99,1.11,2.49,2.01,39.96,58.86,29.07,40.25,50.19,30.72,0.85,7.21,0.53,31.07,18.06,81.92,62.6,22.24,10.59,11.4,85.78,14.92,9.87,55.08,32.66,7.64,0.49,1.28,0.45,23.63,0.61,5.71,8.25,28.4,0.57,5.69,0.0,4.19,9.07,12.31,1.38,7.6,0.41,1.31,29.74,en-x,BitextMining
21,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ClayAtlas/winberta-base"">winberta-base</a>",,,18.78,9.26,17.41,51.97,88.7,13.22,5.75,13.26,19.56,3.99,11.42,17.74,16.75,8.55,24.34,23.45,2.49,15.81,3.22,42.18,15.96,10.95,4.8,11.89,9.11,86.26,1.94,7.17,5.64,26.0,20.2,4.49,1.76,9.5,8.25,5.45,7.38,6.34,13.53,19.96,19.03,2.68,3.65,19.32,11.69,30.26,49.45,10.05,6.44,14.77,23.13,11.78,17.24,23.22,32.13,7.49,15.98,6.74,52.34,0.6,33.0,16.97,15.33,48.19,6.11,2.34,7.87,8.76,8.13,7.4,36.61,28.56,13.73,3.52,16.69,24.85,14.99,29.41,13.8,27.89,25.22,6.69,3.11,3.09,51.06,9.27,14.51,28.6,17.36,60.68,14.05,10.17,28.19,15.83,12.92,21.75,10.95,6.37,26.72,2.51,23.69,5.76,60.21,4.02,9.38,20.61,2.65,39.8,24.79,3.53,49.56,4.84,73.25,8.03,2.26,58.35,30.9,en-x,BitextMining
22,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-large"">sentence-t5-large</a>",168.0,0.63,17.26,87.0,88.91,0.44,0.95,23.7,0.65,30.98,0.48,0.68,0.22,55.3,1.03,5.83,1.66,0.0,5.62,12.23,5.84,1.35,48.56,46.97,9.79,6.0,24.21,2.26,4.03,9.53,9.17,34.63,89.31,9.68,4.66,0.77,26.88,5.19,9.46,21.59,5.66,79.71,28.29,2.34,3.55,56.25,24.25,0.57,0.12,10.29,9.52,6.22,0.81,41.11,54.0,75.47,13.02,8.98,67.23,8.54,0.99,1.85,1.37,0.67,0.56,1.73,9.23,5.38,21.3,40.48,5.38,6.83,0.45,0.01,16.44,0.33,0.4,2.48,34.66,42.72,24.08,34.17,55.01,29.15,0.2,6.99,0.9,30.8,12.81,73.45,54.86,2.43,8.35,9.3,78.87,11.74,5.83,35.41,28.18,7.53,0.36,1.01,1.1,12.4,1.58,4.95,6.45,37.82,0.67,1.88,0.0,4.79,7.03,9.68,1.28,10.64,0.57,0.88,14.67,en-x,BitextMining
23,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/avsolatorio/GIST-Embedding-v0"">GIST-Embedding-v0</a>",109.0,0.41,6.61,14.99,32.42,0.18,2.76,8.05,0.67,17.0,0.3,0.26,0.0,17.93,0.29,3.26,0.96,0.07,5.21,7.18,3.81,0.99,15.52,14.09,4.59,4.73,14.16,2.89,3.05,6.64,6.45,10.06,18.14,3.81,2.73,0.5,10.98,3.5,7.35,8.13,3.62,21.53,14.62,2.82,2.38,18.49,13.55,0.1,0.0,5.52,4.08,4.68,0.4,17.46,20.98,31.39,8.37,4.15,18.5,5.54,1.58,1.02,0.28,0.58,0.51,0.5,6.31,3.6,11.38,12.55,2.48,4.88,0.4,0.0,7.27,0.1,0.15,1.44,13.34,12.37,7.02,10.3,30.33,11.98,0.0,4.85,0.2,11.4,6.57,18.86,10.94,0.25,5.63,4.38,18.97,6.3,2.98,8.47,9.33,6.9,0.51,0.81,0.51,3.22,1.0,3.48,4.22,14.76,0.21,0.78,0.0,3.19,5.28,5.48,2.62,2.17,0.3,2.15,7.56,en-x,BitextMining
24,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/average_word_embeddings_komninos"">komninos</a>",134.0,0.5,4.54,0.18,0.08,0.15,0.05,4.82,1.18,8.54,0.63,0.4,0.63,11.69,0.0,3.22,1.75,0.2,7.0,9.31,4.17,1.29,7.73,5.61,4.88,3.55,19.29,0.5,4.15,5.69,8.4,6.99,3.67,5.33,4.25,0.63,2.45,2.69,4.69,7.61,3.36,7.0,12.36,3.07,4.81,8.12,18.87,0.68,0.1,5.41,6.32,3.42,0.97,7.1,13.61,8.57,7.26,4.09,5.54,11.43,0.2,2.71,1.11,1.17,0.55,0.5,8.55,4.61,4.07,2.83,0.95,3.25,0.29,0.2,14.53,0.2,0.2,1.1,10.37,9.5,4.49,4.95,14.53,5.8,0.24,6.65,0.5,8.05,5.13,5.87,6.76,0.2,4.23,6.05,5.03,4.36,1.77,6.72,8.54,11.49,1.3,0.77,0.85,2.61,0.69,5.76,5.24,15.51,0.6,1.23,0.4,4.73,6.55,4.12,0.2,4.33,0.59,0.5,7.27,en-x,BitextMining
25,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/DMetaSoul/sbert-chinese-general-v1"">sbert-chinese-general-v1</a>",102.0,0.38,,,,,9.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en-x,BitextMining
26,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Muennighoff/SGPT-125M-weightedmean-nli-bitfit"">SGPT-125M-weightedmean-nli-bitfit</a>",138.0,0.51,,1.09,0.02,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en-x,BitextMining
27,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Muennighoff/SGPT-5.8B-weightedmean-nli-bitfit"">SGPT-5.8B-weightedmean-nli-bitfit</a>",5874.0,21.88,,75.15,0.42,0.01,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en-x,BitextMining
28,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jinaai/jina-embeddings-v2-base-de"">jina-embeddings-v2-base-de</a>",161.0,0.6,,98.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en-x,BitextMining
29,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/average_word_embeddings_glove.6B.300d"">glove.6B.300d</a>",120.0,0.45,,0.18,0.19,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en-x,BitextMining
30,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/zhou-xl/bi-cse"">bi-cse</a>",560.0,2.09,,,,,98.39,,,,,,,,,,,,,,,,,,,,,95.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,en-x,BitextMining
