Rank,Model,Model Size (Million Parameters),"Memory Usage (GB, fp32)",Average,Cmnli,Ocnli,Subset,Task category
20,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://platform.baichuan-ai.com/docs/text-Embedding"">Baichuan-text-embedding</a>",,,82.32,85.31,79.33,zh,PairClassification
21,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-large-zh-v1.5"">bge-large-zh-v1.5</a>",326,1.21,81.6,85.27,77.94,zh,PairClassification
22,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/DMetaSoul/sbert-chinese-general-v1"">sbert-chinese-general-v1</a>",102,0.38,81.46,85.92,77.01,zh,PairClassification
23,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/EdwardBurgin/paraphrase-multilingual-mpnet-base-v2"">paraphrase-multilingual-mpnet-base-v2</a>",,,80.9,86.7,75.1,zh,PairClassification
24,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/thenlper/gte-base-zh"">gte-base-zh</a>",102,0.38,80.44,85.6,75.28,zh,PairClassification
25,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Erin/mist-zh"">mist-zh</a>",51,0.19,80.01,84.76,75.26,zh,PairClassification
26,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/infgrad/stella-base-zh-v2"">stella-base-zh-v2</a>",51,0.19,79.96,84.75,75.16,zh,PairClassification
27,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-base-zh-v1.5"">bge-base-zh-v1.5</a>",102,0.38,79.76,84.1,75.41,zh,PairClassification
28,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ClayAtlas/winberta-base"">winberta-base</a>",,,78.77,84.1,73.44,zh,PairClassification
29,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/infgrad/stella-large-zh"">stella-large-zh</a>",163,0.61,78.72,85.14,72.29,zh,PairClassification
30,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-7b1"">udever-bloom-7b1</a>",7069,26.33,78.65,85.14,72.15,zh,PairClassification
31,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sensenova/piccolo-large-zh"">piccolo-large-zh</a>",163,0.61,78.38,83.83,72.92,zh,PairClassification
32,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-large-zh-noinstruct"">bge-large-zh-noinstruct</a>",326,1.21,76.77,82.17,71.37,zh,PairClassification
33,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sensenova/piccolo-base-zh"">piccolo-base-zh</a>",51,0.19,76.61,82.33,70.89,zh,PairClassification
34,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-3b"">udever-bloom-3b</a>",3003,11.19,76.59,83.32,69.86,zh,PairClassification
35,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/infgrad/stella-base-zh"">stella-base-zh</a>",51,0.19,76.09,81.65,70.53,zh,PairClassification
36,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-1b1"">udever-bloom-1b1</a>",,,74.96,81.34,68.58,zh,PairClassification
37,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/liujiarik/lim_base_zh"">lim_base_zh</a>",102,0.38,74.64,79.58,69.7,zh,PairClassification
38,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-560m"">udever-bloom-560m</a>",,,72.38,78.43,66.32,zh,PairClassification
39,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-mistral-7b-instruct"">e5-mistral-7b-instruct</a>",7111,26.49,72.19,80.21,64.18,zh,PairClassification
40,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/GanymedeNil/text2vec-large-chinese"">text2vec-large-chinese</a>",326,1.21,70.86,77.67,64.04,zh,PairClassification
41,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-small-zh-v1.5"">bge-small-zh-v1.5</a>",24,0.09,70.4,76.24,64.57,zh,PairClassification
42,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/thenlper/gte-small-zh"">gte-small-zh</a>",15,0.06,70.0,76.46,63.54,zh,PairClassification
43,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-large"">multilingual-e5-large</a>",560,2.09,69.89,78.18,61.6,zh,PairClassification
44,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/new-and-improved-embedding-model"">text-embedding-ada-002</a>",,,69.56,76.03,63.08,zh,PairClassification
45,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentosa/ZNV-Embedding"">ZNV-Embedding</a>",6061,22.58,68.76,75.67,61.85,zh,PairClassification
46,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/shibing624/text2vec-base-chinese"">text2vec-base-chinese</a>",102,0.38,67.41,73.87,60.95,zh,PairClassification
47,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-base"">multilingual-e5-base</a>",278,1.04,67.07,74.51,59.63,zh,PairClassification
48,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/silk-road/luotuo-bert-medium"">luotuo-bert-medium</a>",328,1.22,66.62,72.55,60.7,zh,PairClassification
49,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-small"">multilingual-e5-small</a>",118,0.44,66.45,72.12,60.77,zh,PairClassification
50,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/moka-ai/m3e-large"">m3e-large</a>",102,0.38,64.3,69.27,59.33,zh,PairClassification
51,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/moka-ai/m3e-base"">m3e-base</a>",102,0.38,63.99,69.98,58.0,zh,PairClassification
52,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/neofung/m3e-ernie-xbase-zh"">m3e-ernie-xbase-zh</a>",,,62.84,65.68,59.99,zh,PairClassification
53,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/facebook/SONAR"">SONAR</a>",,,58.52,61.86,55.18,zh,PairClassification
54,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/thtang/ALL_862873"">ALL_862873</a>",118,0.44,56.7,57.78,55.63,zh,PairClassification
