index,Rank,Model,Model Size (Million Parameters),"Memory Usage (GB, fp32)",Embedding Dimensions,Max Tokens,Average,AskUbuntuDupQuestions,MindSmallReranking,SciDocsRR,StackOverflowDupQuestions
154,11,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/dunzhang/stella_en_400M_v5"">stella_en_400M_v5</a>",435,1.62,8192,8192,60.16,66.15,33.05,88.44,52.99
102,12,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Salesforce/SFR-Embedding-2_R"">SFR-Embedding-2_R</a>",7111,26.49,4096,32768,60.14,66.71,31.26,87.29,55.32
15,13,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Alibaba-NLP/gte-Qwen1.5-7B-instruct"">gte-Qwen1.5-7B-instruct</a>",7099,26.45,4096,32768,60.13,66.0,32.71,87.89,53.93
204,14,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/mixedbread-ai/mxbai-embed-large-v1"">mxbai-embed-large-v1</a>",335,1.25,1024,512,60.11,65.16,32.54,87.53,55.22
151,15,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/dopeba/mxbai-embed-large-v1-Q6_K-GGUF"">mxbai-embed-large-v1-Q6_K-GGUF</a>",,,,,60.11,65.16,32.54,87.53,55.22
6,16,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.voyageai.com/embeddings/"">voyage-large-2-instruct</a>",,,1024,16000,60.09,64.92,30.97,89.34,55.11
130,17,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/avsolatorio/GIST-large-Embedding-v0"">GIST-large-Embedding-v0</a>",335,1.25,1024,512,60.05,64.7,32.82,87.8,54.88
196,18,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/llmrails/ember-v1"">ember-v1</a>",335,1.25,1024,512,60.04,64.46,32.27,87.56,55.85
104,19,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Santyyy/ember-v1-Q8_0-GGUF"">ember-v1-Q8_0-GGUF</a>",,,,,60.04,64.46,32.27,87.56,55.85
231,20,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sabafallah/bge-large-en-v1.5-Q4_K_M-GGUF"">bge-large-en-v1.5-Q4_K_M-GGUF</a>",,,,,60.03,64.47,32.06,87.63,55.95
23,21,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-large-en-v1.5"">bge-large-en-v1.5</a>",335,1.25,1024,512,60.03,64.47,32.06,87.63,55.95
232,22,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sabafallah/bge-large-en-v1.5-Q8_0-GGUF"">bge-large-en-v1.5-Q8_0-GGUF</a>",,,,,60.03,64.47,32.06,87.63,55.95
279,23,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/w601sxs/b1ade-embed"">b1ade-embed</a>",335,1.25,1024,512,60.0,64.42,32.78,87.61,55.19
16,24,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Alibaba-NLP/gte-Qwen2-1.5B-instruct"">gte-Qwen2-1.5B-instruct</a>",1776,6.62,1536,131072,59.98,64.55,33.94,86.52,54.91
36,25,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/DecisionOptimizationSystemProduction/DeepFeatTextEmbeddingLarge"">DeepFeatTextEmbeddingLarge</a>",1776,6.62,1536,131072,59.98,64.55,33.94,86.52,54.91
57,26,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Labib11/MUG-B-1.6"">MUG-B-1.6</a>",335,1.25,1024,512,59.97,64.29,32.66,87.65,55.28
116,27,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/WhereIsAI/UAE-Large-V1"">UAE-Large-V1</a>",335,1.25,1024,512,59.88,64.2,32.51,87.49,55.32
183,28,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jamesgpt1/sf_model_e5"">sf_model_e5</a>",335,1.25,1024,512,59.86,64.32,32.27,87.47,55.4
22,29,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-en-icl"">bge-en-icl</a>",7111,26.49,4096,32768,59.86,65.15,30.6,86.96,56.71
46,30,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/GritLM/GritLM-8x7B"">GritLM-8x7B</a>",46703,173.98,4096,32768,59.8,65.6,32.84,86.43,54.33
8,31,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.voyageai.com/embeddings/"">voyage-lite-01-instruct</a>",,,1024,4000,59.74,65.77,31.69,87.03,54.49
25,32,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-multilingual-gemma2"">bge-multilingual-gemma2</a>",9242,34.43,3584,8192,59.72,64.59,31.79,87.6,54.9
69,33,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/McGill-NLP/LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-supervised"">LLM2Vec-Meta-Llama-3-supervised</a>",7505,27.96,4096,8192,59.68,65.19,32.67,86.05,54.82
128,34,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/avsolatorio/GIST-Embedding-v0"">GIST-Embedding-v0</a>",109,0.41,768,512,59.37,62.69,32.36,87.72,54.72
243,35,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/all-mpnet-base-v2"">all-mpnet-base-v2</a>",110,0.41,768,514,59.36,65.85,30.97,88.65,51.98
305,36,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/new-embedding-models-and-api-updates"">text-embedding-3-large</a>",,,3072,8191,59.16,65.03,29.86,86.66,55.08
267,37,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/thenlper/gte-large"">gte-large</a>",335,1.25,1024,512,59.13,63.06,32.63,87.2,53.63
291,38,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/zeta-alpha-ai/Zeta-Alpha-E5-Mistral"">Zeta-Alpha-E5-Mistral</a>",7111,26.49,4096,32768,59.02,64.58,32.2,85.16,54.15
207,39,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/neuralmagic/bge-base-en-v1.5-quant"">bge-base-en-v1.5-quant</a>",,,,,58.94,62.39,31.89,87.05,54.45
203,40,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/mixedbread-ai/mxbai-embed-2d-large-v1"">mxbai-embed-2d-large-v1</a>",335,1.25,1024,512,58.94,63.77,31.85,86.98,53.16
175,41,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-large-instruct"">multilingual-e5-large-instruct</a>",560,2.09,1024,514,58.92,64.41,33.07,85.75,52.45
1,42,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings#latest_models"">google-gecko.text-embedding-preview-0409</a>",1200,4.47,768,2048,58.9,64.4,33.07,83.59,54.56
21,43,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-base-en-v1.5"">bge-base-en-v1.5</a>",109,0.41,768,512,58.86,62.13,31.2,87.49,54.61
133,44,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/aws-neuron/bge-base-en-v1-5-seqlen-384-bs-1"">bge-base-en-v1-5-seqlen-384-bs-1</a>",,,,,58.86,62.13,31.2,87.49,54.61
165,45,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/infgrad/stella-base-en-v2"">stella-base-en-v2</a>",55,0.2,768,512,58.78,62.72,31.91,86.66,53.81
266,46,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/thenlper/gte-base"">gte-base</a>",109,0.41,768,512,58.61,61.8,32.54,87.08,53.01
131,47,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/avsolatorio/GIST-small-Embedding-v0"">GIST-small-Embedding-v0</a>",33,0.12,384,512,58.56,62.33,32.36,86.48,53.06
19,48,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Alibaba-NLP/gte-large-en-v1.5"">gte-large-en-v1.5</a>",434,1.62,1024,8192,58.5,63.13,31.46,86.93,52.48
241,49,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/all-MiniLM-L12-v2"">all-MiniLM-L12-v2</a>",33,0.12,384,512,58.44,64.06,31.02,87.2,51.47
71,50,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised"">LLM2Vec-Mistral-supervised</a>",7111,26.49,4096,32768,58.42,63.98,31.5,83.8,54.41
26,51,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-small-en-v1.5"">bge-small-en-v1.5</a>",33,0.12,384,512,58.36,62.59,31.29,85.94,53.64
132,52,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/avsolatorio/NoInstruct-small-Embedding-v0"">NoInstruct-small-Embedding-v0</a>",33,0.12,384,512,58.3,62.13,31.92,86.18,52.96
9,53,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.voyageai.com/embeddings/"">voyage-lite-02-instruct</a>",1220,4.54,1024,4000,58.24,63.24,31.48,84.68,53.56
192,54,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jspringer/echo-mistral-7b-instruct-lasttoken"">echo-mistral-7b-instruct-lasttoken</a>",7111,26.49,4096,32768,58.14,64.13,32.92,83.68,51.84
191,55,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jinaai/jina-embeddings-v3"">jina-embeddings-v3</a>",572,2.13,1024,8194,58.13,65.04,30.83,84.88,51.77
242,56,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2"">all-MiniLM-L6-v2</a>",23,0.09,384,512,58.04,63.48,30.8,87.12,50.77
202,57,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/mgoin/all-MiniLM-L6-v2-ds"">all-MiniLM-L6-v2-ds</a>",,,,,58.04,63.48,30.8,87.12,50.76
33,58,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Cohere/Cohere-embed-english-v3.0"">Cohere-embed-english-v3.0</a>",,,1024,512,58.01,61.7,32.67,85.2,52.48
304,59,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/new-embedding-models-and-api-updates"">text-embedding-3-large-256</a>",,,256,8191,57.99,64.61,29.63,84.25,53.46
129,60,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/avsolatorio/GIST-all-MiniLM-L6-v2"">GIST-all-MiniLM-L6-v2</a>",23,0.08,384,512,57.95,62.97,31.31,87.14,50.36
211,61,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/neuralmagic/bge-small-en-v1.5-quant"">bge-small-en-v1.5-quant</a>",,,,,57.86,62.4,31.28,85.01,52.75
35,62,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Cohere/Cohere-embed-multilingual-v3.0"">Cohere-embed-multilingual-v3.0</a>",,,1024,512,57.86,62.13,32.59,84.31,52.4
0,63,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings#latest_models"">google-gecko-256.text-embedding-preview-0409</a>",1200,4.47,256,2048,57.78,63.84,31.89,81.62,53.76
268,64,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/thenlper/gte-small"">gte-small</a>",33,0.12,384,512,57.7,61.72,32.21,84.83,52.03
18,65,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Alibaba-NLP/gte-base-en-v1.5"">gte-base-en-v1.5</a>",137,0.51,768,8192,57.66,61.83,31.34,85.17,52.29
163,66,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/hkunlp/instructor-large"">instructor-large</a>",335,1.25,768,512,57.54,64.3,31.68,82.0,52.17
126,67,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/amazon/Titan-text-embeddings-v2"">Titan-text-embeddings-v2</a>",,,,,57.5,63.29,31.3,80.67,54.75
20,68,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Alibaba-NLP/gte-multilingual-base"">gte-multilingual-base</a>",305,1.14,768,8192,57.47,61.88,31.75,84.15,52.09
67,69,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/McGill-NLP/LLM2Vec-Llama-2-7b-chat-hf-mntp-supervised"">LLM2Vec-Llama-2-supervised</a>",6607,24.61,4096,4096,57.38,63.13,31.34,84.03,51.02
164,70,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/hkunlp/instructor-xl"">instructor-xl</a>",1241,4.62,768,512,57.29,65.35,31.81,79.49,52.52
208,71,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/neuralmagic/bge-base-en-v1.5-sparse"">bge-base-en-v1.5-sparse</a>",,,,,57.18,60.23,31.71,84.46,52.32
195,72,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/lixsh6/XLM-3B5-embedding"">XLM-3B5-embedding</a>",,,,,57.12,62.73,30.81,85.11,49.85
282,73,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/walsons/jina-embeddings-v2-base-en-Q4_K_M-GGUF"">jina-embeddings-v2-base-en-Q4_K_M-GGUF</a>",,,,,56.98,62.25,30.54,83.1,52.05
188,74,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jinaai/jina-embeddings-v2-base-en"">jina-embeddings-v2-base-en</a>",137,0.51,768,8192,56.98,62.25,30.54,83.1,52.05
306,75,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/new-embedding-models-and-api-updates"">text-embedding-3-small</a>",,,1536,8191,56.72,62.18,29.93,83.25,51.53
251,76,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/gtr-t5-xxl"">gtr-t5-xxl</a>",4865,18.12,768,512,56.66,63.23,31.93,77.96,53.5
169,77,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-large-v2"">e5-large-v2</a>",335,1.25,1024,512,56.61,59.62,31.83,84.31,50.68
55,78,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/KeyurRamoliya/e5-large-v2-GGUF"">e5-large-v2-GGUF</a>",,,,,56.61,59.62,31.83,84.31,50.68
90,79,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Muennighoff/SGPT-5.8B-weightedmean-msmarco-specb-bitfit"">SGPT-5.8B-weightedmean-msmarco-specb-bitfit</a>",5874,21.88,4096,2048,56.56,61.63,32.29,80.79,51.53
168,80,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-large"">e5-large</a>",335,1.25,1024,512,56.53,60.07,30.78,83.94,51.33
259,81,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-xxl"">sentence-t5-xxl</a>",4865,18.12,768,512,56.42,66.16,30.6,76.09,52.85
185,82,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jinaai/jina-embedding-l-en-v1"">jina-embedding-l-en-v1</a>",335,1.25,1024,512,56.42,62.83,31.48,80.97,50.38
303,83,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/new-and-improved-embedding-model"">text-embedding-ada-002</a>",,,1536,8191,56.32,62.05,31.45,81.22,50.54
59,84,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Lajavaness/bilingual-embedding-large"">bilingual-embedding-large</a>",560,2.09,1024,514,56.26,60.77,31.72,84.26,48.3
121,85,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/actualdata/bilingual-embedding-large"">bilingual-embedding-large</a>",560,2.09,1024,514,56.26,60.77,31.72,84.26,48.3
162,86,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/hkunlp/instructor-base"">instructor-base</a>",110,0.41,768,512,56.2,63.17,31.82,78.83,50.99
32,87,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Cohere/Cohere-embed-english-light-v3.0"">Cohere-embed-english-light-v3.0</a>",,,,,56.09,60.11,31.87,81.62,50.76
250,88,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/gtr-t5-xl"">gtr-t5-xl</a>",1240,4.62,768,512,55.96,63.08,31.5,76.49,52.79
174,89,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-large"">multilingual-e5-large</a>",560,2.09,1024,514,55.96,59.24,30.24,84.22,50.14
125,90,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/aimlresearch2023/snowflake-arctic-embed-m-v1.5-Q8_0-GGUF"">snowflake-arctic-embed-m-v1.5-Q8_0-GGUF</a>",,,,,55.94,61.6,30.21,79.74,52.2
110,91,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v1.5"">snowflake-arctic-embed-m-v1.5</a>",109,0.41,768,512,55.94,61.6,30.21,79.74,52.2
182,92,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-7b1"">udever-bloom-7b1</a>",7069,26.33,4096,2048,55.91,61.6,31.22,80.27,50.55
167,93,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-base-v2"">e5-base-v2</a>",110,0.41,768,512,55.91,58.98,31.29,83.02,50.34
155,94,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/dwzhu/e5-base-4k"">e5-base-4k</a>",112,0.42,768,4096,55.91,58.98,31.29,83.02,50.34
56,95,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/KeyurRamoliya/multilingual-e5-large-GGUF"">multilingual-e5-large-GGUF</a>",,,,,55.86,60.28,31.42,82.04,49.72
184,96,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jinaai/jina-embedding-b-en-v1"">jina-embedding-b-en-v1</a>",110,0.41,768,512,55.84,62.4,31.56,79.31,50.11
293,97,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/zyj2003lj/nomic-embed-text-v1.5-Q4_K_M-GGUF"">nomic-embed-text-v1.5-Q4_K_M-GGUF</a>",,,,,55.78,61.71,30.31,80.61,50.47
100,98,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/RinaChen/nomic-embed-text-v1.5-Q4_K_M-GGUF"">nomic-embed-text-v1.5-Q4_K_M-GGUF</a>",,,,,55.78,61.71,30.31,80.61,50.47
119,99,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/YorkieOH10/nomic-embed-text-v1.5-Q8_0-GGUF"">nomic-embed-text-v1.5-Q8_0-GGUF</a>",,,,,55.78,61.71,30.31,80.61,50.47
220,100,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nomic-ai/nomic-embed-text-v1.5"">nomic-embed-text-v1.5</a>",137,0.51,768,8192,55.78,61.71,30.31,80.61,50.47
115,101,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/TaylorAI/gte-tiny"">gte-tiny</a>",23,0.08,384,512,55.77,59.83,32.06,81.54,49.65
118,102,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/YanshekWoo/kalm-embedding-multilingual-mini"">kalm-embedding-multilingual-mini</a>",,,,,55.74,59.79,32.08,81.58,49.51
166,103,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-base"">e5-base</a>",109,0.41,768,512,55.7,59.66,30.07,82.9,50.15
213,104,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nomic-ai/nomic-embed-text-v1"">nomic-embed-text-v1</a>",137,0.51,768,8192,55.69,60.6,30.81,81.45,49.9
135,105,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/bigscience/sgpt-bloom-7b1-msmarco"">sgpt-bloom-7b1-msmarco</a>",,,,,55.65,59.97,31.79,79.77,51.07
218,106,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nomic-ai/nomic-embed-text-v1.5"">nomic-embed-text-v1.5-512</a>",138,0.51,512,8192,55.65,61.6,30.34,80.33,50.32
194,107,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/lixsh6/XLM-0B6-embedding"">XLM-0B6-embedding</a>",,,,,55.6,61.11,28.83,85.93,46.52
193,108,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/lixsh6/MegatronBert-1B3-embedding"">MegatronBert-1B3-embedding</a>",,,,,55.5,58.96,29.32,88.03,45.71
287,109,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/yixuan-chia/snowflake-arctic-embed-m-long-Q8_0-GGUF"">snowflake-arctic-embed-m-long-Q8_0-GGUF</a>",,,,,55.47,61.36,29.91,79.23,51.38
109,110,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Snowflake/snowflake-arctic-embed-m-long"">snowflake-arctic-embed-m-long</a>",137,0.51,768,8192,55.47,61.36,29.91,79.23,51.38
107,111,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Snowflake/snowflake-arctic-embed-l"">snowflake-arctic-embed-l</a>",334,1.24,1024,512,55.46,60.35,29.08,81.56,50.87
108,112,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Snowflake/snowflake-arctic-embed-m"">snowflake-arctic-embed-m</a>",109,0.41,768,512,55.42,60.53,29.17,80.81,51.19
58,113,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Lajavaness/bilingual-embedding-base"">bilingual-embedding-base</a>",278,1.04,768,514,55.4,59.28,31.65,81.48,49.2
73,114,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/McGill-NLP/LLM2Vec-Sheared-LLaMA-mntp-supervised"">LLM2Vec-Sheared-Llama-supervised</a>",1280,4.77,2048,4096,55.38,60.71,31.96,79.23,49.61
249,115,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/gtr-t5-large"">gtr-t5-large</a>",168,0.63,768,512,55.36,61.64,31.84,76.39,51.58
76,116,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Mihaiii/Ivysaur"">Ivysaur</a>",23,0.08,384,512,55.34,59.7,31.78,80.04,49.83
189,117,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jinaai/jina-embeddings-v2-base-es"">jina-embeddings-v2-base-es</a>",161,0.6,768,8192,55.32,61.19,30.61,79.3,50.18
226,118,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/piaopiao0095/jina-embeddings-v2-base-es-Q5_K_M-GGUF"">jina-embeddings-v2-base-es-Q5_K_M-GGUF</a>",,,,,55.32,61.19,30.61,79.3,50.18
111,119,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Snowflake/snowflake-arctic-embed-s"">snowflake-arctic-embed-s</a>",33,0.12,384,512,55.31,61.15,30.6,79.34,50.16
143,120,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/consciousAI/cai-stellaris-text-embeddings"">cai-stellaris-text-embeddings</a>",53,0.2,768,514,55.24,60.35,30.98,81.45,48.17
217,121,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nomic-ai/nomic-embed-text-v1.5"">nomic-embed-text-v1.5-256</a>",138,0.51,256,8192,55.18,61.34,30.04,79.4,49.95
190,122,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jinaai/jina-embeddings-v2-small-en"">jina-embeddings-v2-small-en</a>",33,0.12,512,8192,55.09,59.62,30.99,79.76,49.99
34,123,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Cohere/Cohere-embed-multilingual-light-v3.0"">Cohere-embed-multilingual-light-v3.0</a>",,,384,512,55.06,58.54,31.36,79.9,50.45
173,124,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-base"">multilingual-e5-base</a>",278,1.04,768,514,55.03,59.28,29.28,81.81,49.75
215,125,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nomic-ai/nomic-embed-text-v1-unsupervised"">nomic-embed-text-v1-unsupervised</a>",137,0.51,768,8192,54.99,59.57,30.6,79.91,49.87
180,126,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-3b"">udever-bloom-3b</a>",3003,11.19,2560,2048,54.9,59.92,30.97,78.62,50.07
258,127,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-xl"">sentence-t5-xl</a>",1240,4.62,768,512,54.71,62.86,29.77,75.16,51.05
