index,Rank,Model,Model Size (Million Parameters),"Memory Usage (GB, fp32)",Embedding Dimensions,Max Tokens,Average,ArguAna,ClimateFEVER,CQADupstackRetrieval,DBPedia,FEVER,FiQA2018,HotpotQA,MSMARCO,NFCorpus,NQ,QuoraRetrieval,SCIDOCS,SciFact,Touche2020,TRECCOVID
0,55,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings#latest_models"">google-gecko-256.text-embedding-preview-0409</a>",1200,4.47,256,2048,52.44,56.27,29.35,45.41,41.91,82.61,55.54,64.65,31.12,37.81,57.37,87.89,18.21,70.86,27.4,80.13
218,56,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nomic-ai/nomic-embed-text-v1.5"">nomic-embed-text-v1.5-512</a>",138,0.51,512,8192,52.4,47.45,40.7,39.06,42.96,85.7,36.92,71.48,42.29,33.31,58.83,87.87,17.88,70.12,29.24,82.12
128,57,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/avsolatorio/GIST-Embedding-v0"">GIST-Embedding-v0</a>",109,0.41,768,512,52.31,62.62,31.49,43.2,41.7,86.65,40.64,68.92,40.64,37.64,53.43,88.81,23.47,75.29,20.58,69.6
267,58,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/thenlper/gte-large"">gte-large</a>",335,1.25,1024,512,52.22,57.16,28.82,43.18,42.37,84.53,44.5,67.16,40.86,38.17,54.78,88.32,23.44,74.27,25.51,70.22
132,59,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/avsolatorio/NoInstruct-small-Embedding-v0"">NoInstruct-small-Embedding-v0</a>",33,0.12,384,512,51.99,57.59,35.2,39.65,41.02,87.13,40.65,66.54,40.23,34.92,50.9,88.41,21.82,72.22,23.48,80.12
111,60,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Snowflake/snowflake-arctic-embed-s"">snowflake-arctic-embed-s</a>",33,0.12,384,512,51.98,56.87,31.25,42.02,41.59,82.49,39.68,66.59,39.79,32.54,56.19,87.47,19.42,69.92,32.51,81.39
196,61,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/llmrails/ember-v1"">ember-v1</a>",335,1.25,1024,512,51.92,64.56,27.29,42.39,41.79,83.69,44.3,74.33,42.03,36.91,51.77,89.09,19.58,73.42,23.54,64.14
183,62,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jamesgpt1/sf_model_e5"">sf_model_e5</a>",335,1.25,1024,512,51.8,64.07,28.74,41.14,42.51,81.38,42.64,72.37,40.66,38.43,51.55,88.74,20.16,75.41,22.6,66.57
26,63,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-small-en-v1.5"">bge-small-en-v1.5</a>",33,0.12,384,512,51.68,59.55,31.84,39.05,40.03,86.64,40.34,69.94,40.83,34.3,50.18,88.78,20.52,71.28,26.04,75.9
304,64,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/new-embedding-models-and-api-updates"">text-embedding-3-large-256</a>",,,256,8191,51.66,55.6,25.8,42.28,40.8,84.57,50.33,62.69,37.93,37.94,56.64,88.22,20.44,73.1,22.31,76.24
73,65,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/McGill-NLP/LLM2Vec-Sheared-LLaMA-mntp-supervised"">LLM2Vec-Sheared-Llama-supervised</a>",1280,4.77,2048,4096,51.44,51.66,33.49,41.73,43.58,86.81,41.0,63.85,38.32,37.12,53.89,87.37,17.96,72.08,22.31,80.41
214,66,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nomic-ai/nomic-embed-text-v1-ablated"">nomic-embed-text-v1-ablated</a>",137,0.51,768,8192,51.43,54.66,27.01,38.47,42.07,77.32,39.02,64.12,43.33,35.31,61.43,88.33,18.7,71.51,27.86,82.31
56,67,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/KeyurRamoliya/multilingual-e5-large-GGUF"">multilingual-e5-large-GGUF</a>",,,,,51.43,54.38,25.73,39.68,41.29,82.81,43.8,71.23,43.7,33.99,64.06,88.18,17.47,70.41,23.39,71.33
203,68,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/mixedbread-ai/mxbai-embed-2d-large-v1"">mxbai-embed-2d-large-v1</a>",335,1.25,1024,512,51.42,63.63,30.73,39.46,40.74,82.24,41.75,63.0,38.03,37.35,54.84,88.14,22.78,74.12,25.89,68.64
174,69,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-large"">multilingual-e5-large</a>",560,2.09,1024,514,51.4,54.36,25.73,39.68,41.29,82.81,43.81,71.23,43.7,33.95,64.06,88.18,17.45,70.42,23.13,71.21
32,70,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Cohere/Cohere-embed-english-light-v3.0"">Cohere-embed-english-light-v3.0</a>",,,,,51.34,50.81,28.9,38.89,41.03,87.64,38.83,66.79,41.33,33.65,57.99,88.11,18.1,66.69,31.93,79.36
126,71,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/amazon/Titan-text-embeddings-v2"">Titan-text-embeddings-v2</a>",,,,,51.31,51.31,22.76,45.27,36.95,88.17,44.8,64.15,38.0,33.94,55.1,88.41,21.98,70.52,27.48,80.75
266,72,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/thenlper/gte-base"">gte-base</a>",109,0.41,768,512,51.14,57.12,28.1,42.91,41.19,81.52,40.76,65.75,40.21,37.9,52.84,88.15,23.13,76.18,22.55,68.78
306,73,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/new-embedding-models-and-api-updates"">text-embedding-3-small</a>",,,1536,8191,51.08,55.49,26.86,42.58,39.97,79.42,44.91,63.63,37.02,38.33,52.86,88.83,20.8,73.37,24.28,77.9
20,74,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Alibaba-NLP/gte-multilingual-base"">gte-multilingual-base</a>",305,1.14,768,8192,51.08,58.23,34.83,38.12,40.12,92.11,45.01,63.04,39.92,36.65,58.11,88.02,18.24,73.43,22.82,57.56
217,75,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nomic-ai/nomic-embed-text-v1.5"">nomic-embed-text-v1.5-256</a>",138,0.51,256,8192,50.81,45.44,39.63,37.61,39.42,84.4,35.0,67.78,41.38,32.54,57.1,87.65,16.76,68.24,28.49,80.65
264,76,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/tanmaylaud/ret-phi2-v0"">ret-phi2-v0</a>",2649,9.87,2560,2048,50.78,48.27,29.61,35.76,40.51,80.14,41.08,63.19,42.72,37.82,56.39,88.1,17.48,71.63,25.66,83.4
118,77,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/YanshekWoo/kalm-embedding-multilingual-mini"">kalm-embedding-multilingual-mini</a>",,,,,50.65,57.91,22.98,41.05,36.14,84.17,45.38,67.18,34.12,33.55,48.09,89.6,20.53,73.94,26.72,78.46
169,78,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-large-v2"">e5-large-v2</a>",335,1.25,1024,512,50.56,46.42,22.21,37.89,44.02,82.83,41.14,73.13,43.46,37.13,63.44,86.84,20.51,72.24,20.67,66.54
131,79,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/avsolatorio/GIST-small-Embedding-v0"">GIST-small-Embedding-v0</a>",33,0.12,384,512,50.43,59.12,31.83,39.89,39.76,86.92,39.15,65.2,39.73,34.69,48.69,88.43,21.89,70.86,21.19,69.14
167,80,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-base-v2"">e5-base-v2</a>",110,0.41,768,512,50.29,44.49,26.56,38.54,42.23,84.99,39.88,69.15,41.77,35.39,58.22,86.56,18.69,71.94,26.4,69.6
155,81,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/dwzhu/e5-base-4k"">e5-base-4k</a>",112,0.42,768,4096,50.29,44.49,26.56,38.54,42.23,84.99,39.88,69.15,41.77,35.39,58.22,86.56,18.69,71.94,26.4,69.6
90,82,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Muennighoff/SGPT-5.8B-weightedmean-msmarco-specb-bitfit"">SGPT-5.8B-weightedmean-msmarco-specb-bitfit</a>",5874,21.88,4096,2048,50.25,51.38,30.46,39.4,39.87,78.24,37.2,59.26,39.91,36.21,52.41,84.58,19.87,74.7,25.43,84.88
34,83,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Cohere/Cohere-embed-multilingual-light-v3.0"">Cohere-embed-multilingual-light-v3.0</a>",,,384,512,50.15,53.37,24.8,38.09,38.05,85.52,36.16,66.88,40.49,32.12,55.51,87.85,17.1,67.95,29.48,78.93
112,84,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Snowflake/snowflake-arctic-embed-xs"">snowflake-arctic-embed-xs</a>",23,0.08,384,512,50.15,52.08,29.88,40.12,40.2,83.4,34.52,65.25,39.43,30.89,54.76,86.57,18.36,64.51,32.79,79.43
165,85,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/infgrad/stella-base-en-v2"">stella-base-en-v2</a>",55,0.2,768,512,50.1,60.63,29.0,41.14,39.64,79.13,38.62,68.22,40.95,37.51,50.2,88.72,18.58,72.51,21.9,64.79
307,86,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://www.elastic.co/guide/en/machine-learning/current/ml-nlp-elser.html"">elser-v2</a>",110,0.41,30522,512,50.02,55.98,27.08,34.27,42.7,78.55,41.57,67.01,38.9,36.66,55.84,84.69,16.24,71.8,26.27,72.72
168,87,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-large"">e5-large</a>",335,1.25,1024,512,49.99,49.35,22.4,39.44,42.39,65.03,38.56,63.33,44.05,36.07,62.86,88.18,20.12,72.58,27.21,78.32
268,88,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/thenlper/gte-small"">gte-small</a>",33,0.12,384,512,49.46,55.44,26.54,39.98,39.1,81.55,39.35,63.79,40.31,34.77,50.29,88.02,21.38,72.7,22.22,66.53
182,89,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-7b1"">udever-bloom-7b1</a>",7069,26.33,4096,2048,49.34,52.21,26.79,39.29,37.62,73.98,36.7,56.66,42.02,36.02,53.31,88.28,18.94,69.29,25.19,83.82
