Rank,Model,Model Size (Million Parameters),"Memory Usage (GB, fp32)",Average,AlloprofRetrieval,BSARDRetrieval,MintakaRetrieval (fr),SyntecRetrieval,XPQARetrieval (fr),Subset,Task category
18,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/vprelovac/universal-sentence-encoder-multilingual-3"">universal-sentence-encoder-multilingual-3</a>",,,38.16,35.27,0.0,26.12,69.82,59.59,fr,Retrieval
19,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/vprelovac/universal-sentence-encoder-multilingual-large-3"">universal-sentence-encoder-multilingual-large-3</a>",,,37.78,33.78,0.0,26.21,63.69,65.21,fr,Retrieval
20,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Wissam42/sentence-croissant-llm-base"">sentence-croissant-llm-base</a>",1280,4.77,36.81,29.97,0.0,21.31,74.2,58.57,fr,Retrieval
21,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-small"">multilingual-e5-small</a>",118,0.44,36.55,27.01,0.0,22.53,75.76,57.47,fr,Retrieval
22,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Cohere/Cohere-embed-multilingual-light-v3.0"">Cohere-embed-multilingual-light-v3.0</a>",,,36.1,35.39,0.0,23.0,76.88,45.23,fr,Retrieval
23,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-large"">sentence-t5-large</a>",168,0.63,35.66,34.52,0.0,23.92,71.05,48.79,fr,Retrieval
24,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/paraphrase-multilingual-mpnet-base-v2"">paraphrase-multilingual-mpnet-base-v2</a>",278,1.04,35.49,30.8,0.0,24.45,76.0,46.22,fr,Retrieval
25,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/all-MiniLM-L12-v2"">all-MiniLM-L12-v2</a>",33,0.12,33.2,33.2,0.0,16.08,60.8,55.9,fr,Retrieval
26,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/dangvantuan/sentence-camembert-base"">sentence-camembert-base</a>",110,0.41,32.37,21.94,0.0,13.36,68.62,57.92,fr,Retrieval
27,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-base"">sentence-t5-base</a>",110,0.41,32.18,27.52,0.16,21.04,67.0,45.19,fr,Retrieval
28,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2"">paraphrase-multilingual-MiniLM-L12-v2</a>",118,0.44,31.24,26.63,0.0,21.53,65.54,42.51,fr,Retrieval
29,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/multi-qa-MiniLM-L6-cos-v1"">multi-qa-MiniLM-L6-cos-v1</a>",23,0.09,30.69,30.23,0.0,16.31,58.07,48.83,fr,Retrieval
30,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2"">all-MiniLM-L6-v2</a>",23,0.09,29.91,28.41,0.0,9.19,60.15,51.79,fr,Retrieval
31,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/LaBSE"">LaBSE</a>",471,1.75,28.47,19.77,0.0,15.53,55.31,51.74,fr,Retrieval
32,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/spaces/mteb/leaderboard"">text2vec-base-multilingual</a>",,,24.76,18.9,0.0,14.81,49.69,40.4,fr,Retrieval
33,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-mistral-7b-instruct"">e5-mistral-7b-instruct</a>",7111,26.49,23.44,16.46,0.0,3.57,55.9,41.29,fr,Retrieval
34,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-1b1"">udever-bloom-1b1</a>",,,17.91,12.37,0.0,2.78,40.57,33.82,fr,Retrieval
35,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://github.com/facebookresearch/LASER"">LASER2</a>",43,0.16,16.19,3.1,0.36,6.31,28.58,42.59,fr,Retrieval
36,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/google-bert/bert-base-multilingual-uncased"">bert-base-multilingual-uncased</a>",168,0.63,13.89,5.51,0.0,2.87,34.95,26.12,fr,Retrieval
37,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/google-bert/bert-base-multilingual-cased"">bert-base-multilingual-cased</a>",179,0.67,8.52,1.63,0.0,3.55,18.95,18.49,fr,Retrieval
38,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Geotrend/bert-base-25lang-cased"">bert-base-25lang-cased</a>",138,0.51,8.51,1.6,0.0,3.55,18.95,18.46,fr,Retrieval
39,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Geotrend/bert-base-10lang-cased"">bert-base-10lang-cased</a>",138,0.51,8.5,1.6,0.0,3.55,18.95,18.39,fr,Retrieval
40,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Geotrend/bert-base-15lang-cased"">bert-base-15lang-cased</a>",138,0.51,8.49,1.61,0.0,3.55,18.95,18.35,fr,Retrieval
41,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-560m"">udever-bloom-560m</a>",,,7.98,1.98,0.0,0.48,24.45,12.98,fr,Retrieval
42,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/flaubert/flaubert_base_uncased"">flaubert_base_uncased</a>",138,0.51,6.73,1.72,0.0,0.51,22.33,9.09,fr,Retrieval
43,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/flaubert/flaubert_base_cased"">flaubert_base_cased</a>",138,0.51,5.87,1.63,0.0,0.58,20.56,6.59,fr,Retrieval
44,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/xlm-roberta-large"">xlm-roberta-large</a>",560,2.09,4.14,0.52,0.0,0.9,6.6,12.7,fr,Retrieval
45,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/xlm-roberta-base"">xlm-roberta-base</a>",279,1.04,3.2,0.16,0.0,0.88,3.33,11.65,fr,Retrieval
46,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/flaubert/flaubert_large_cased"">flaubert_large_cased</a>",372,1.39,1.22,0.58,0.0,0.26,1.58,3.69,fr,Retrieval
