Rank,Model,Model Size (Million Parameters),"Memory Usage (GB, fp32)",Average,AmazonReviewsClassification (fr),MasakhaNEWSClassification (fra),MassiveIntentClassification (fr),MassiveScenarioClassification (fr),MTOPDomainClassification (fr),MTOPIntentClassification (fr),Subset,Task category
12,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Cohere/Cohere-embed-multilingual-v3.0"">Cohere-embed-multilingual-v3.0</a>",,,67.08,41.89,83.06,62.94,67.29,86.23,61.07,fr,Classification
13,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-base"">multilingual-e5-base</a>",278,1.04,66.8,40.94,79.69,67.95,71.89,84.79,55.51,fr,Classification
14,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/vprelovac/universal-sentence-encoder-multilingual-large-3"">universal-sentence-encoder-multilingual-large-3</a>",,,66.37,35.09,72.04,65.8,73.47,88.19,63.64,fr,Classification
15,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/manu/sentence_croissant_alpha_v0.4"">sentence_croissant_alpha_v0.4</a>",1280,4.77,65.96,34.62,74.29,65.67,71.61,86.97,62.59,fr,Classification
16,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/dangvantuan/sentence-camembert-large"">sentence-camembert-large</a>",337,1.26,65.82,37.97,80.62,62.65,69.29,85.74,58.62,fr,Classification
17,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-xl"">sentence-t5-xl</a>",1240,4.62,65.09,43.52,80.09,60.99,66.42,85.14,54.39,fr,Classification
18,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/paraphrase-multilingual-mpnet-base-v2"">paraphrase-multilingual-mpnet-base-v2</a>",278,1.04,64.64,39.0,78.1,61.88,67.9,81.21,59.76,fr,Classification
19,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/LaBSE"">LaBSE</a>",471,1.75,64.6,38.52,77.39,60.47,65.1,84.14,62.01,fr,Classification
20,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Wissam42/sentence-croissant-llm-base"">sentence-croissant-llm-base</a>",1280,4.77,64.57,34.79,79.29,59.41,65.29,85.52,63.12,fr,Classification
21,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/vprelovac/universal-sentence-encoder-multilingual-3"">universal-sentence-encoder-multilingual-3</a>",,,64.41,33.51,82.06,61.19,70.22,85.5,53.98,fr,Classification
22,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-small"">multilingual-e5-small</a>",118,0.44,63.13,39.68,77.65,65.47,68.76,81.2,46.01,fr,Classification
23,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-large"">sentence-t5-large</a>",168,0.63,61.64,41.48,80.43,57.01,63.6,79.6,47.73,fr,Classification
24,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Cohere/Cohere-embed-multilingual-light-v3.0"">Cohere-embed-multilingual-light-v3.0</a>",,,61.3,38.6,82.58,56.31,59.5,80.79,50.01,fr,Classification
25,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2"">paraphrase-multilingual-MiniLM-L12-v2</a>",118,0.44,61.02,35.3,76.09,57.52,64.52,78.63,54.05,fr,Classification
26,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.voyageai.com/embeddings/"">voyage-2</a>",,,59.84,37.26,80.19,53.7,62.46,79.79,45.62,fr,Classification
27,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-base"">sentence-t5-base</a>",110,0.41,58.08,37.35,81.21,51.13,59.92,75.03,43.85,fr,Classification
28,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-mistral-7b-instruct"">e5-mistral-7b-instruct</a>",7111,26.49,57.72,36.71,80.59,46.39,53.86,74.8,53.97,fr,Classification
29,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/dangvantuan/sentence-camembert-base"">sentence-camembert-base</a>",110,0.41,56.63,36.03,70.36,51.59,61.28,77.1,43.44,fr,Classification
30,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/spaces/mteb/leaderboard"">text2vec-base-multilingual</a>",,,55.78,34.25,73.84,51.93,58.31,71.83,44.53,fr,Classification
31,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-1b1"">udever-bloom-1b1</a>",,,54.9,35.12,80.83,43.21,49.78,69.24,51.25,fr,Classification
32,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://github.com/facebookresearch/LASER"">LASER2</a>",43,0.16,53.31,31.12,65.9,46.13,54.32,72.26,50.12,fr,Classification
33,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/all-MiniLM-L12-v2"">all-MiniLM-L12-v2</a>",33,0.12,52.14,27.54,72.2,44.82,53.76,75.59,38.94,fr,Classification
34,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/multi-qa-MiniLM-L6-cos-v1"">multi-qa-MiniLM-L6-cos-v1</a>",23,0.09,50.9,27.05,75.62,42.64,49.92,72.97,37.18,fr,Classification
35,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/google-bert/bert-base-multilingual-uncased"">bert-base-multilingual-uncased</a>",168,0.63,48.37,29.02,75.69,38.01,43.63,64.49,39.4,fr,Classification
36,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Geotrend/bert-base-10lang-cased"">bert-base-10lang-cased</a>",138,0.51,46.1,29.38,63.93,37.28,44.5,63.65,37.87,fr,Classification
37,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/google-bert/bert-base-multilingual-cased"">bert-base-multilingual-cased</a>",179,0.67,46.1,29.39,64.0,37.3,44.47,63.61,37.84,fr,Classification
38,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Geotrend/bert-base-25lang-cased"">bert-base-25lang-cased</a>",138,0.51,46.09,29.39,63.91,37.3,44.47,63.63,37.86,fr,Classification
39,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Geotrend/bert-base-15lang-cased"">bert-base-15lang-cased</a>",138,0.51,46.09,29.35,63.89,37.28,44.47,63.7,37.85,fr,Classification
40,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/xlm-roberta-base"">xlm-roberta-base</a>",279,1.04,31.21,26.75,60.5,13.58,23.21,43.83,19.38,fr,Classification
41,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/xlm-roberta-large"">xlm-roberta-large</a>",560,2.09,30.71,26.62,65.76,15.82,23.92,36.77,15.37,fr,Classification
42,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-560m"">udever-bloom-560m</a>",,,30.38,26.85,67.94,15.09,21.67,34.99,15.76,fr,Classification
43,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/flaubert/flaubert_large_cased"">flaubert_large_cased</a>",372,1.39,25.21,22.45,55.64,16.41,22.72,24.27,9.79,fr,Classification
44,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/flaubert/flaubert_base_cased"">flaubert_base_cased</a>",138,0.51,24.91,24.9,71.14,6.98,11.41,25.55,9.49,fr,Classification
45,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/flaubert/flaubert_base_uncased"">flaubert_base_uncased</a>",138,0.51,23.28,23.52,62.61,6.24,10.98,27.74,8.61,fr,Classification
46,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ClayAtlas/winberta-base"">winberta-base</a>",,,,,,37.53,45.32,54.97,26.69,fr,Classification
47,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ClayAtlas/winberta-large"">winberta-large</a>",,,,,,32.64,40.66,,,fr,Classification
48,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/ClayAtlas/windberta-large"">windberta-large</a>",,,,,,33.16,40.92,,,fr,Classification
49,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Kenknight1999/test_ver_2"">test_ver_2</a>",560,2.09,,41.89,,69.34,73.87,89.0,70.56,fr,Classification
50,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Kenknight1999/tungdd7_ft_e5"">tungdd7_ft_e5</a>",560,2.09,,41.89,,69.34,73.87,89.0,70.56,fr,Classification
52,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Muennighoff/SGPT-125M-weightedmean-msmarco-specb-bitfit"">SGPT-125M-weightedmean-msmarco-specb-bitfit</a>",138,0.51,,26.39,,43.44,45.07,65.35,46.33,fr,Classification
53,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Muennighoff/SGPT-125M-weightedmean-nli-bitfit"">SGPT-125M-weightedmean-nli-bitfit</a>",138,0.51,,27.4,,43.67,45.92,63.13,44.34,fr,Classification
54,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Muennighoff/SGPT-5.8B-weightedmean-nli-bitfit"">SGPT-5.8B-weightedmean-nli-bitfit</a>",5874,21.88,,37.84,,,,81.32,58.67,fr,Classification
55,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/amazon/Titan-text-embeddings-v2"">Titan-text-embeddings-v2</a>",,,,39.47,,64.27,69.76,86.22,59.43,fr,Classification
56,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/bigscience-data/sgpt-bloom-1b7-nli"">sgpt-bloom-1b7-nli</a>",1722,6.42,,39.29,,64.58,69.6,83.8,63.36,fr,Classification
57,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/bigscience/sgpt-bloom-7b1-msmarco"">sgpt-bloom-7b1-msmarco</a>",7068,26.33,,35.92,,66.95,72.91,90.98,69.12,fr,Classification
58,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/facebook/SONAR"">SONAR</a>",,,,34.91,,58.55,63.02,86.19,66.75,fr,Classification
59,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-large-instruct"">multilingual-e5-large-instruct</a>",560,2.09,,48.51,,73.32,77.07,89.97,76.72,fr,Classification
60,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2"">all-MiniLM-L6-v2</a>",23,0.09,,,74.05,,,,,fr,Classification
61,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/allenai-specter"">allenai-specter</a>",110,0.41,,23.31,,38.41,40.26,54.61,34.71,fr,Classification
63,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/distiluse-base-multilingual-cased-v2"">distiluse-base-multilingual-cased-v2</a>",135,0.5,,35.7,,57.02,65.2,84.61,53.41,fr,Classification
64,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/gtr-t5-large"">gtr-t5-large</a>",168,0.63,,33.48,,54.83,64.06,82.48,46.39,fr,Classification
65,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/gtr-t5-xl"">gtr-t5-xl</a>",1240,4.62,,35.48,,57.67,66.72,85.05,51.07,fr,Classification
66,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/shibing624/text2vec-base-multilingual"">text2vec-base-multilingual</a>",118,0.44,,33.45,,58.8,63.39,76.17,53.26,fr,Classification
