Rank,Model,Model Size (Million Parameters),"Memory Usage (GB, fp32)",Average,AmazonCounterfactualClassification (de),AmazonCounterfactualClassification (ja),AmazonReviewsClassification (de),AmazonReviewsClassification (es),AmazonReviewsClassification (fr),AmazonReviewsClassification (ja),AmazonReviewsClassification (zh),MTOPDomainClassification (de),MTOPDomainClassification (es),MTOPDomainClassification (fr),MTOPDomainClassification (hi),MTOPDomainClassification (th),MTOPIntentClassification (de),MTOPIntentClassification (es),MTOPIntentClassification (fr),MTOPIntentClassification (hi),MTOPIntentClassification (th),MassiveIntentClassification (af),MassiveIntentClassification (am),MassiveIntentClassification (ar),MassiveIntentClassification (az),MassiveIntentClassification (bn),MassiveIntentClassification (cy),MassiveIntentClassification (de),MassiveIntentClassification (el),MassiveIntentClassification (es),MassiveIntentClassification (fa),MassiveIntentClassification (fi),MassiveIntentClassification (fr),MassiveIntentClassification (he),MassiveIntentClassification (hi),MassiveIntentClassification (hu),MassiveIntentClassification (hy),MassiveIntentClassification (id),MassiveIntentClassification (is),MassiveIntentClassification (it),MassiveIntentClassification (ja),MassiveIntentClassification (jv),MassiveIntentClassification (ka),MassiveIntentClassification (km),MassiveIntentClassification (kn),MassiveIntentClassification (ko),MassiveIntentClassification (lv),MassiveIntentClassification (ml),MassiveIntentClassification (mn),MassiveIntentClassification (ms),MassiveIntentClassification (my),MassiveIntentClassification (nl),MassiveIntentClassification (pt),MassiveIntentClassification (ro),MassiveIntentClassification (ru),MassiveIntentClassification (sl),MassiveIntentClassification (sq),MassiveIntentClassification (sw),MassiveIntentClassification (ta),MassiveIntentClassification (te),MassiveIntentClassification (th),MassiveIntentClassification (tl),MassiveIntentClassification (tr),MassiveIntentClassification (ur),MassiveIntentClassification (vi),MassiveIntentClassification (zh-TW),MassiveScenarioClassification (af),MassiveScenarioClassification (am),MassiveScenarioClassification (ar),MassiveScenarioClassification (az),MassiveScenarioClassification (bn),MassiveScenarioClassification (cy),MassiveScenarioClassification (de),MassiveScenarioClassification (el),MassiveScenarioClassification (es),MassiveScenarioClassification (fa),MassiveScenarioClassification (fi),MassiveScenarioClassification (fr),MassiveScenarioClassification (he),MassiveScenarioClassification (hi),MassiveScenarioClassification (hu),MassiveScenarioClassification (hy),MassiveScenarioClassification (id),MassiveScenarioClassification (is),MassiveScenarioClassification (it),MassiveScenarioClassification (ja),MassiveScenarioClassification (jv),MassiveScenarioClassification (ka),MassiveScenarioClassification (km),MassiveScenarioClassification (kn),MassiveScenarioClassification (ko),MassiveScenarioClassification (lv),MassiveScenarioClassification (ml),MassiveScenarioClassification (mn),MassiveScenarioClassification (ms),MassiveScenarioClassification (my),MassiveScenarioClassification (nl),MassiveScenarioClassification (pt),MassiveScenarioClassification (ro),MassiveScenarioClassification (ru),MassiveScenarioClassification (sl),MassiveScenarioClassification (sq),MassiveScenarioClassification (sw),MassiveScenarioClassification (ta),MassiveScenarioClassification (te),MassiveScenarioClassification (th),MassiveScenarioClassification (tl),MassiveScenarioClassification (tr),MassiveScenarioClassification (ur),MassiveScenarioClassification (vi),MassiveScenarioClassification (zh-TW),Subset,Task category
11,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/bigscience/sgpt-bloom-7b1-msmarco"">sgpt-bloom-7b1-msmarco</a>",7068,26.33,54.35,61.35,58.23,29.7,35.97,35.92,27.64,32.63,82.05,93.55,90.98,89.33,60.49,61.92,74.49,69.12,64.85,49.36,47.85,33.3,59.25,45.24,61.59,44.92,56.1,46.13,66.35,51.2,45.33,66.95,43.18,63.54,44.73,38.13,64.06,44.35,60.77,61.22,50.94,33.84,37.34,53.54,53.36,46.5,58.27,40.28,59.65,37.42,52.09,66.69,50.53,58.32,47.74,48.94,49.81,56.4,54.71,44.43,50.21,46.56,56.75,64.53,62.89,51.47,34.87,65.21,45.58,67.3,46.29,61.74,48.96,73.34,53.17,44.69,72.91,43.1,69.27,45.16,38.73,70.13,44.21,65.57,65.76,54.79,32.99,39.34,60.5,55.69,44.35,65.53,38.72,64.99,36.84,56.32,71.46,53.69,61.6,48.04,50.06,54.22,62.77,62.59,45.18,52.06,47.21,64.26,70.61,70.3,other-cls,Classification
12,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/shibing624/text2vec-base-multilingual"">text2vec-base-multilingual</a>",118,0.44,53.59,68.69,61.61,33.39,34.82,33.45,30.05,32.52,78.59,79.24,76.17,78.75,77.67,55.29,58.68,53.26,59.62,58.8,45.42,37.68,45.02,48.71,43.79,28.76,51.56,56.47,58.28,59.05,57.36,58.8,51.18,57.06,58.36,52.11,58.27,35.81,58.28,60.78,31.15,44.5,40.99,46.96,54.73,54.87,47.89,52.23,54.28,51.96,59.45,59.84,57.04,58.02,56.36,56.48,33.96,44.29,47.14,56.86,35.36,59.63,52.79,54.65,57.47,50.86,41.18,50.08,51.29,46.53,34.35,56.4,61.8,62.21,62.44,61.1,63.39,56.29,60.63,63.29,54.88,61.99,38.58,62.35,65.17,36.13,50.27,44.24,47.37,58.89,56.51,50.06,55.05,59.77,55.72,63.38,62.41,60.68,62.31,61.43,62.23,38.52,47.0,51.02,63.23,38.72,64.49,56.8,57.06,63.37,other-cls,Classification
13,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-1b1"">udever-bloom-1b1</a>",,,50.6,66.03,58.77,30.45,40.8,35.12,32.07,38.12,74.64,92.07,69.24,88.54,55.63,53.4,71.33,51.25,66.73,42.13,44.98,25.35,57.08,39.11,61.37,42.97,50.93,40.09,63.81,49.06,42.58,43.21,37.15,62.89,41.62,32.98,62.11,41.04,55.83,58.83,49.31,26.43,28.77,52.33,46.93,44.26,57.75,33.31,55.7,27.39,48.34,64.74,48.41,52.99,44.77,45.45,46.46,55.46,51.41,39.2,48.53,39.51,54.72,62.01,62.56,50.47,27.22,65.43,40.74,67.65,43.94,56.67,41.81,71.78,49.96,41.01,49.78,36.69,69.28,44.31,33.64,68.98,42.1,60.27,62.48,54.68,27.22,32.14,57.95,47.95,42.76,62.84,33.21,62.57,28.84,52.85,70.24,52.73,54.26,46.89,47.16,51.2,61.84,59.79,41.62,50.47,43.41,60.15,68.99,71.7,other-cls,Classification
14,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-560m"">udever-bloom-560m</a>",,,46.37,66.42,56.86,26.85,38.97,26.85,28.31,35.7,68.42,88.21,34.99,84.23,53.17,49.17,65.72,15.76,61.88,41.67,43.29,23.21,53.38,39.56,56.74,40.0,45.82,37.87,61.17,45.65,40.28,15.09,32.23,59.46,40.91,29.94,59.14,39.62,51.77,53.75,46.29,25.11,27.22,47.97,40.54,43.14,53.69,33.37,51.94,25.32,44.03,61.74,45.73,47.61,42.83,43.61,45.55,51.24,47.43,36.88,45.93,38.59,51.85,58.72,59.95,47.42,24.71,62.09,39.25,63.37,39.17,50.71,39.47,68.31,45.65,38.95,21.67,32.13,65.57,42.97,32.13,65.11,40.84,54.55,57.15,49.3,25.86,31.18,53.01,40.25,41.88,59.08,33.34,57.45,27.2,48.42,66.41,50.08,49.94,43.43,44.08,49.53,56.79,54.01,38.58,48.07,40.65,57.75,65.83,69.64,other-cls,Classification
15,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/distiluse-base-multilingual-cased-v2"">distiluse-base-multilingual-cased-v2</a>",135,0.5,44.78,68.14,65.39,35.03,36.24,35.7,31.08,33.89,86.19,87.75,84.61,76.41,73.62,59.21,57.21,53.41,45.54,47.73,40.02,2.35,43.14,25.6,4.84,15.43,51.57,49.65,56.57,55.36,45.72,57.02,46.74,48.55,50.65,40.79,56.0,16.08,57.65,55.33,28.16,29.41,4.79,3.37,49.97,44.31,3.24,40.37,47.97,38.48,58.29,58.63,50.63,57.96,50.66,50.25,19.29,3.79,3.36,45.28,28.44,50.47,46.03,45.25,54.96,53.67,7.72,52.19,34.75,10.65,21.24,61.4,60.68,64.61,59.24,54.66,65.2,54.74,55.99,61.2,49.63,65.25,22.6,64.63,62.32,35.77,39.08,9.24,8.28,57.6,51.72,8.25,47.21,55.65,43.31,67.49,64.26,58.03,65.41,59.36,62.69,25.12,8.67,7.82,54.65,36.09,60.89,54.71,55.15,62.89,other-cls,Classification
16,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://github.com/facebookresearch/LASER"">LASER2</a>",43,0.16,42.45,67.82,68.76,31.07,32.72,31.12,28.94,30.89,74.08,73.47,72.26,72.95,72.68,51.62,52.75,50.12,45.55,50.07,38.01,12.7,37.16,19.98,42.51,17.33,44.79,46.71,45.44,45.01,45.94,46.13,42.55,40.2,42.77,28.07,45.81,39.86,48.25,45.3,24.3,22.7,22.48,4.32,44.26,39.75,41.33,16.2,43.23,25.37,45.0,48.55,44.3,44.29,44.72,46.12,31.89,29.63,36.03,43.39,29.73,43.93,26.11,44.33,32.93,47.1,17.7,45.21,28.21,50.52,22.58,54.34,55.47,52.77,52.5,52.63,54.32,52.41,47.37,53.43,33.57,54.38,49.78,54.84,54.12,32.71,26.92,27.23,10.06,52.01,44.82,49.1,21.51,53.6,29.72,53.33,53.41,50.48,51.84,51.29,55.65,42.04,36.72,42.08,52.15,37.34,52.56,32.6,50.97,42.32,other-cls,Classification
17,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Muennighoff/SGPT-125M-weightedmean-msmarco-specb-bitfit"">SGPT-125M-weightedmean-msmarco-specb-bitfit</a>",138,0.51,37.64,56.88,54.65,24.79,26.64,26.39,22.08,24.27,62.73,67.55,65.35,45.37,55.28,49.56,49.94,46.33,32.21,43.63,40.55,24.18,30.13,35.88,29.17,41.79,42.07,36.25,42.68,35.59,40.04,43.44,31.59,27.04,38.45,27.98,43.97,40.3,45.47,45.61,38.67,25.65,28.3,23.48,36.56,41.85,24.91,29.86,42.42,25.13,43.62,45.21,41.81,35.97,40.61,42.76,41.12,24.6,25.04,35.4,41.19,36.41,25.93,38.8,42.31,43.25,25.3,32.07,36.68,29.57,42.1,43.21,36.5,44.08,32.61,40.36,45.07,32.18,26.9,40.38,28.38,44.36,39.29,46.47,46.26,41.13,24.73,29.74,23.85,36.57,40.93,25.53,29.11,43.79,27.27,45.36,45.9,44.12,32.76,40.5,42.52,43.0,28.33,26.59,36.79,42.57,37.09,28.84,37.36,44.42,other-cls,Classification
18,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Muennighoff/SGPT-125M-weightedmean-nli-bitfit"">SGPT-125M-weightedmean-nli-bitfit</a>",138,0.51,36.66,59.08,56.42,24.52,29.1,27.4,21.72,23.98,60.37,67.37,63.13,47.05,52.28,45.07,48.81,44.34,34.2,43.11,37.79,23.72,29.64,39.48,26.55,38.78,40.39,37.29,41.18,36.42,38.76,43.67,31.98,28.04,38.14,26.05,41.16,38.63,44.04,46.21,37.61,24.47,26.24,17.83,37.27,40.93,17.89,32.98,40.91,17.83,41.76,44.54,39.97,37.46,38.29,40.95,38.33,19.03,19.38,34.09,40.29,38.86,27.83,38.71,42.32,40.25,25.69,32.4,40.53,27.23,38.7,41.36,38.44,44.18,34.83,40.56,45.92,32.08,28.37,39.49,25.9,40.96,38.56,46.59,46.25,39.66,25.28,28.97,19.27,35.73,39.57,19.9,32.43,42.32,20.86,43.59,46.31,42.53,35.95,38.69,40.47,39.55,22.88,20.51,34.93,40.75,39.07,29.75,38.02,45.18,other-cls,Classification
19,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/all-MiniLM-L12-v2"">all-MiniLM-L12-v2</a>",33,0.12,31.93,57.1,59.91,25.91,27.63,27.54,23.57,22.99,72.04,72.99,75.59,40.36,17.1,43.41,41.88,38.94,17.75,5.63,38.94,2.45,20.94,34.25,13.67,35.71,44.17,28.7,40.91,23.52,39.27,44.82,23.65,17.98,38.0,8.69,39.66,35.14,43.17,30.94,36.69,9.17,4.99,3.08,19.97,38.61,2.85,23.25,36.21,4.38,41.85,45.12,41.71,26.33,38.52,41.62,35.28,13.1,2.56,10.54,38.56,35.9,16.18,37.38,22.39,45.71,7.41,27.62,39.58,18.98,41.4,52.07,35.51,50.74,29.0,45.8,53.76,25.68,23.02,44.09,14.83,44.35,43.08,51.71,36.75,44.57,14.84,9.75,8.32,25.72,42.75,7.25,29.03,44.65,10.07,49.15,53.0,49.97,28.75,42.26,49.14,43.18,19.38,7.74,18.32,48.31,41.79,24.46,40.94,31.16,other-cls,Classification
20,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/gtr-t5-xl"">gtr-t5-xl</a>",1240,4.62,30.51,59.79,50.59,35.06,37.18,35.48,22.24,21.89,85.42,88.2,85.05,21.74,15.87,55.75,57.73,51.07,3.19,5.55,42.6,2.12,4.64,35.05,2.84,36.19,55.49,10.14,56.72,3.54,37.13,57.67,2.56,3.24,34.22,3.01,46.54,34.77,54.13,4.27,36.97,2.72,5.35,3.17,2.64,36.32,3.18,22.85,42.87,4.04,49.53,57.03,49.95,36.58,39.44,41.78,35.85,2.32,2.2,3.74,43.12,35.24,3.0,30.01,3.35,52.54,6.3,11.96,40.17,8.29,42.24,68.09,16.66,64.32,6.9,43.96,66.72,7.51,7.82,42.16,9.33,53.54,42.84,62.44,7.29,43.13,7.63,9.08,8.1,6.35,40.24,7.65,27.98,52.41,9.21,60.35,62.78,59.62,43.44,44.79,50.84,44.63,7.95,7.5,8.79,53.54,42.47,9.58,34.68,8.77,other-cls,Classification
