index,Rank,Model,Model Size (Million Parameters),"Memory Usage (GB, fp32)",Embedding Dimensions,Max Tokens,Average (56 datasets),Classification Average (12 datasets),Clustering Average (11 datasets),PairClassification Average (3 datasets),Reranking Average (4 datasets),Retrieval Average (15 datasets),STS Average (10 datasets),Summarization Average (1 datasets)
213,52,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nomic-ai/nomic-embed-text-v1"">nomic-embed-text-v1</a>",137,0.51,768,8192,62.39,74.12,43.91,85.15,55.69,52.81,82.06,30.08
220,53,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nomic-ai/nomic-embed-text-v1.5"">nomic-embed-text-v1.5</a>",137,0.51,768,8192,62.28,73.55,43.93,84.61,55.78,53.01,81.94,30.4
306,54,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/new-embedding-models-and-api-updates"">text-embedding-3-small</a>",,,1536,8191,62.26,73.21,46.65,85.04,56.72,51.08,81.58,31.12
169,55,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-large-v2"">e5-large-v2</a>",335,1.25,1024,512,62.2,75.24,44.26,86.03,56.61,50.56,82.05,30.19
26,56,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-small-en-v1.5"">bge-small-en-v1.5</a>",33,0.12,384,512,62.17,74.14,43.82,84.92,58.36,51.68,81.59,30.12
32,57,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Cohere/Cohere-embed-english-light-v3.0"">Cohere-embed-english-light-v3.0</a>",,,,,62.01,74.31,44.64,85.05,56.09,51.34,80.92,31.29
304,58,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/new-embedding-models-and-api-updates"">text-embedding-3-large-256</a>",,,256,8191,62.0,71.97,46.23,84.22,57.99,51.66,81.04,29.92
218,59,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nomic-ai/nomic-embed-text-v1.5"">nomic-embed-text-v1.5-512</a>",138,0.51,512,8192,61.96,73.24,43.71,84.59,55.65,52.4,81.7,30.47
73,60,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/McGill-NLP/LLM2Vec-Sheared-LLaMA-mntp-supervised"">LLM2Vec-Sheared-Llama-supervised</a>",1280,4.77,2048,4096,61.85,72.21,43.57,86.21,55.38,51.44,83.58,30.01
164,61,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/hkunlp/instructor-xl"">instructor-xl</a>",1241,4.62,768,512,61.79,73.12,44.74,86.62,57.29,49.26,83.06,32.32
118,62,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/YanshekWoo/kalm-embedding-multilingual-mini"">kalm-embedding-multilingual-mini</a>",,,,,61.62,72.4,45.22,83.94,55.74,50.65,82.12,28.81
163,63,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/hkunlp/instructor-large"">instructor-large</a>",335,1.25,768,512,61.59,73.86,45.29,85.89,57.54,47.57,83.15,31.84
167,64,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-base-v2"">e5-base-v2</a>",110,0.41,768,512,61.56,73.84,44.1,85.73,55.91,50.29,81.05,30.28
155,65,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/dwzhu/e5-base-4k"">e5-base-4k</a>",112,0.42,768,4096,61.5,73.84,43.8,85.73,55.91,50.29,81.05,30.28
56,66,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/KeyurRamoliya/multilingual-e5-large-GGUF"">multilingual-e5-large-GGUF</a>",,,,,61.5,74.81,41.06,84.75,55.86,51.43,81.56,29.69
168,67,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-large"">e5-large</a>",335,1.25,1024,512,61.42,73.14,43.33,85.94,56.53,49.99,82.06,30.97
20,68,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Alibaba-NLP/gte-multilingual-base"">gte-multilingual-base</a>",305,1.14,768,8192,61.4,70.89,44.31,84.24,57.47,51.08,82.11,30.58
214,69,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nomic-ai/nomic-embed-text-v1-ablated"">nomic-embed-text-v1-ablated</a>",137,0.51,768,8192,61.36,73.65,43.7,84.59,53.32,51.43,80.22,31.28
268,70,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/thenlper/gte-small"">gte-small</a>",33,0.12,384,512,61.36,72.31,44.89,83.54,57.7,49.46,82.07,30.42
217,71,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nomic-ai/nomic-embed-text-v1.5"">nomic-embed-text-v1.5-256</a>",138,0.51,256,8192,61.04,72.1,43.16,84.09,55.18,50.81,81.34,30.05
303,72,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/new-and-improved-embedding-model"">text-embedding-ada-002</a>",,,1536,8191,60.99,70.93,45.9,84.89,56.32,49.25,80.97,30.8
174,73,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-large"">multilingual-e5-large</a>",560,2.09,1024,514,60.89,71.77,41.23,84.75,55.96,51.4,81.62,29.64
182,74,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-7b1"">udever-bloom-7b1</a>",7069,26.33,4096,2048,60.63,72.13,40.81,85.4,55.91,49.34,83.01,30.97
166,75,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-base"">e5-base</a>",109,0.41,768,512,60.44,72.63,42.11,85.09,55.7,48.75,80.96,31.01
188,76,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jinaai/jina-embeddings-v2-base-en"">jina-embeddings-v2-base-en</a>",137,0.51,768,8192,60.38,73.45,41.73,85.38,56.98,47.87,80.7,31.6
126,77,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/amazon/Titan-text-embeddings-v2"">Titan-text-embeddings-v2</a>",,,,,60.37,70.62,40.4,82.14,57.5,51.31,81.54,27.54
109,78,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Snowflake/snowflake-arctic-embed-m-long"">snowflake-arctic-embed-m-long</a>",137,0.51,768,8192,60.09,68.01,41.51,82.02,55.47,54.83,77.08,31.38
287,79,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/yixuan-chia/snowflake-arctic-embed-m-long-Q8_0-GGUF"">snowflake-arctic-embed-m-long-Q8_0-GGUF</a>",,,,,60.09,68.01,41.51,82.02,55.47,54.83,77.08,31.38
34,80,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Cohere/Cohere-embed-multilingual-light-v3.0"">Cohere-embed-multilingual-light-v3.0</a>",,,384,512,60.08,70.57,41.98,83.95,55.06,50.15,80.09,30.41
172,81,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-small-v2"">e5-small-v2</a>",33,0.12,384,512,59.93,72.94,39.92,84.67,54.32,49.04,80.39,31.16
180,82,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-3b"">udever-bloom-3b</a>",3003,11.19,2560,2048,59.86,71.91,40.74,84.06,54.9,47.67,82.37,30.62
215,83,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nomic-ai/nomic-embed-text-v1-unsupervised"">nomic-embed-text-v1-unsupervised</a>",137,0.51,768,8192,59.85,71.17,42.52,83.67,54.99,48.0,80.84,30.72
107,84,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Snowflake/snowflake-arctic-embed-l"">snowflake-arctic-embed-l</a>",334,1.24,1024,512,59.84,67.07,41.49,80.8,55.46,55.98,75.48,30.84
108,85,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Snowflake/snowflake-arctic-embed-m"">snowflake-arctic-embed-m</a>",109,0.41,768,512,59.79,68.23,41.87,81.07,55.42,54.91,75.03,30.31
110,86,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v1.5"">snowflake-arctic-embed-m-v1.5</a>",109,0.41,768,512,59.55,68.79,40.71,81.36,55.94,55.14,73.63,30.36
125,87,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/aimlresearch2023/snowflake-arctic-embed-m-v1.5-Q8_0-GGUF"">snowflake-arctic-embed-m-v1.5-Q8_0-GGUF</a>",,,,,59.55,68.79,40.71,81.36,55.94,55.14,73.63,30.36
162,88,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/hkunlp/instructor-base"">instructor-base</a>",110,0.41,768,512,59.54,72.36,41.9,83.51,56.2,45.12,82.29,29.85
259,89,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-xxl"">sentence-t5-xxl</a>",4865,18.12,768,512,59.51,73.42,43.72,85.07,56.42,42.24,82.63,30.08
216,90,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nomic-ai/nomic-embed-text-v1.5"">nomic-embed-text-v1.5-128</a>",138,0.51,128,8192,59.34,69.7,42.24,83.54,54.56,47.75,80.74,29.59
195,91,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/lixsh6/XLM-3B5-embedding"">XLM-3B5-embedding</a>",,,,,59.29,72.25,43.48,79.23,57.12,44.99,80.47,29.02
173,92,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-base"">multilingual-e5-base</a>",278,1.04,768,514,59.11,69.76,39.62,83.57,55.03,48.87,80.31,30.23
129,93,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/avsolatorio/GIST-all-MiniLM-L6-v2"">GIST-all-MiniLM-L6-v2</a>",23,0.08,384,512,59.0,72.72,39.48,83.39,57.95,45.12,80.72,31.22
251,94,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/gtr-t5-xxl"">gtr-t5-xxl</a>",4865,18.12,768,512,58.97,67.41,42.42,86.12,56.66,48.48,78.38,30.64
111,95,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Snowflake/snowflake-arctic-embed-s"">snowflake-arctic-embed-s</a>",33,0.12,384,512,58.94,65.65,40.88,82.07,55.31,51.98,78.44,31.75
171,96,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-small"">e5-small</a>",33,0.12,384,512,58.94,71.67,39.73,85.08,54.45,46.01,80.87,31.39
90,97,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Muennighoff/SGPT-5.8B-weightedmean-msmarco-specb-bitfit"">SGPT-5.8B-weightedmean-msmarco-specb-bitfit</a>",5874,21.88,4096,2048,58.93,68.13,40.34,82.0,56.56,50.25,78.1,31.46
115,98,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/TaylorAI/gte-tiny"">gte-tiny</a>",23,0.08,384,512,58.69,70.35,42.09,82.83,55.77,44.92,80.46,29.47
250,99,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/gtr-t5-xl"">gtr-t5-xl</a>",1240,4.62,768,512,58.42,67.11,41.51,86.13,55.96,47.96,77.8,30.21
179,100,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-1b1"">udever-bloom-1b1</a>",,,1536,2048,58.29,70.17,39.11,83.11,54.28,45.27,81.52,31.1
249,101,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/gtr-t5-large"">gtr-t5-large</a>",168,0.63,768,512,58.28,67.14,41.6,85.32,55.36,47.42,78.19,29.5
76,102,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Mihaiii/Ivysaur"">Ivysaur</a>",23,0.08,384,512,58.07,70.25,40.7,83.32,55.34,43.97,79.89,31.27
190,103,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jinaai/jina-embeddings-v2-small-en"">jina-embeddings-v2-small-en</a>",33,0.12,512,8192,58.0,68.82,40.08,84.44,55.09,45.14,80.0,30.56
194,104,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/lixsh6/XLM-0B6-embedding"">XLM-0B6-embedding</a>",,,,,57.97,70.55,42.97,77.83,55.6,43.39,79.02,30.25
66,105,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Marqo/multilingual-e5-small"">multilingual-e5-small</a>",118,0.44,384,512,57.87,70.74,37.08,82.59,53.87,46.64,79.1,29.98
258,106,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-xl"">sentence-t5-xl</a>",1240,4.62,768,512,57.87,72.84,42.34,86.06,54.71,38.47,81.66,29.91
243,107,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/all-mpnet-base-v2"">all-mpnet-base-v2</a>",110,0.41,768,514,57.77,65.03,43.69,83.04,59.36,43.81,80.28,27.49
135,108,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/bigscience/sgpt-bloom-7b1-msmarco"">sgpt-bloom-7b1-msmarco</a>",,,,,57.59,66.19,38.93,81.9,55.65,48.22,77.74,33.6
185,109,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jinaai/jina-embedding-l-en-v1"">jina-embedding-l-en-v1</a>",335,1.25,1024,512,57.38,67.76,37.15,84.8,56.42,44.81,80.96,29.85
89,110,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Muennighoff/SGPT-2.7B-weightedmean-msmarco-specb-bitfit"">SGPT-2.7B-weightedmean-msmarco-specb-bitfit</a>",2685,10.0,2560,2048,57.17,67.13,39.83,80.65,54.67,46.54,76.83,31.03
257,111,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-large"">sentence-t5-large</a>",168,0.63,768,512,57.06,72.31,41.65,84.97,54.0,36.71,81.83,29.64
176,112,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-small"">multilingual-e5-small</a>",118,0.44,384,512,57.05,67.03,37.22,82.73,52.9,46.63,79.16,30.04
112,113,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Snowflake/snowflake-arctic-embed-xs"">snowflake-arctic-embed-xs</a>",23,0.08,384,512,56.98,62.94,38.86,81.33,54.4,50.15,76.39,30.1
193,114,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/lixsh6/MegatronBert-1B3-embedding"">MegatronBert-1B3-embedding</a>",,,,,56.81,69.65,40.86,76.9,55.5,41.41,79.11,31.01
