index,Rank,Model,Model Size (Million Parameters),"Memory Usage (GB, fp32)",Embedding Dimensions,Max Tokens,Average,BIOSSES,SICK-R,STS12,STS13,STS14,STS15,STS16,STS17 (en-en),STS22 (en),STSBenchmark
57,11,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Labib11/MUG-B-1.6"">MUG-B-1.6</a>",335,1.25,1024,512,84.99,88.38,83.0,79.22,89.43,84.79,89.54,86.69,89.64,70.26,88.96
62,12,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Linq-AI-Research/Linq-Embed-Mistral"">Linq-Embed-Mistral</a>",7111,26.49,4096,32768,84.97,86.4,84.31,78.44,88.27,84.49,90.28,87.37,92.68,68.62,88.81
0,13,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings#latest_models"">google-gecko-256.text-embedding-preview-0409</a>",1200,4.47,256,2048,84.93,89.42,81.67,78.02,90.1,85.44,89.64,87.24,90.46,67.99,89.33
203,14,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/mixedbread-ai/mxbai-embed-2d-large-v1"">mxbai-embed-2d-large-v1</a>",335,1.25,1024,512,84.9,88.06,82.05,78.77,90.4,85.45,90.01,87.42,88.8,68.8,89.2
230,15,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/raghavlight/TDTE"">TDTE</a>",,,,,84.82,87.28,82.33,79.7,89.21,86.01,89.7,87.68,88.03,70.16,88.15
170,16,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-mistral-7b-instruct"">e5-mistral-7b-instruct</a>",7111,26.49,4096,32768,84.62,85.5,82.64,79.65,88.43,84.54,90.42,87.69,91.76,66.98,88.6
130,17,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/avsolatorio/GIST-large-Embedding-v0"">GIST-large-Embedding-v0</a>",335,1.25,1024,512,84.59,89.17,82.8,77.13,89.29,83.83,89.7,86.43,89.66,69.61,88.3
116,18,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/WhereIsAI/UAE-Large-V1"">UAE-Large-V1</a>",335,1.25,1024,512,84.54,86.14,82.62,79.09,89.62,85.02,89.51,86.61,88.99,68.79,89.06
153,19,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/dunzhang/stella_en_1.5B_v5"">stella_en_1.5B_v5</a>",1543,5.75,8192,131072,84.51,83.11,82.89,80.09,89.68,85.07,89.39,87.15,91.35,68.1,88.23
6,20,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.voyageai.com/embeddings/"">voyage-large-2-instruct</a>",,,1024,16000,84.31,89.24,83.16,73.34,88.49,86.49,91.13,85.68,90.06,66.32,89.22
223,21,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nvidia/NV-Embed-v2"">NV-Embed-v2</a>",7851,29.25,4096,32768,84.31,87.42,82.15,77.89,88.3,84.3,89.04,86.77,90.67,68.12,88.41
22,22,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-en-icl"">bge-en-icl</a>",7111,26.49,4096,32768,84.24,86.47,83.87,78.14,86.59,82.83,87.77,87.04,91.25,70.07,88.42
291,23,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/zeta-alpha-ai/Zeta-Alpha-E5-Mistral"">Zeta-Alpha-E5-Mistral</a>",7111,26.49,4096,32768,84.24,86.44,81.88,78.64,87.12,83.55,90.1,87.22,91.43,67.76,88.28
154,24,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/dunzhang/stella_en_400M_v5"">stella_en_400M_v5</a>",435,1.62,8192,8192,84.22,83.3,82.21,79.52,89.19,85.15,89.1,87.14,90.97,67.83,87.74
209,25,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/neuralmagic/bge-large-en-v1.5-quant"">bge-large-en-v1.5-quant</a>",,,,,84.18,88.37,82.06,78.83,87.99,83.5,89.0,86.45,89.56,68.15,87.89
71,26,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/McGill-NLP/LLM2Vec-Mistral-7B-Instruct-v2-mntp-supervised"">LLM2Vec-Mistral-supervised</a>",7111,26.49,4096,32768,84.09,85.24,83.7,78.8,86.37,84.04,88.99,87.22,90.19,67.68,88.65
25,27,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-multilingual-gemma2"">bge-multilingual-gemma2</a>",9242,34.43,3584,8192,83.88,85.74,82.66,77.71,87.45,83.48,87.63,86.7,91.18,69.02,87.25
183,28,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jamesgpt1/sf_model_e5"">sf_model_e5</a>",335,1.25,1024,512,83.85,86.75,82.33,77.61,87.95,83.85,88.47,86.46,88.7,68.02,88.33
67,29,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/McGill-NLP/LLM2Vec-Llama-2-7b-chat-hf-mntp-supervised"">LLM2Vec-Llama-2-supervised</a>",6607,24.61,4096,4096,83.73,82.13,83.01,78.85,86.84,84.04,88.72,86.79,90.63,67.55,88.72
69,30,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/McGill-NLP/LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-supervised"">LLM2Vec-Meta-Llama-3-supervised</a>",7505,27.96,4096,8192,83.58,84.92,83.94,79.27,84.83,82.94,88.09,86.54,89.58,67.67,88.05
73,31,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/McGill-NLP/LLM2Vec-Sheared-LLaMA-mntp-supervised"">LLM2Vec-Sheared-Llama-supervised</a>",1280,4.77,2048,4096,83.58,85.88,82.25,78.28,85.52,82.49,88.76,87.11,90.1,68.25,87.16
128,32,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/avsolatorio/GIST-Embedding-v0"">GIST-Embedding-v0</a>",109,0.41,768,512,83.51,87.95,81.29,76.16,87.85,83.39,89.43,85.35,88.59,67.81,87.32
189,33,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jinaai/jina-embeddings-v2-base-es"">jina-embeddings-v2-base-es</a>",161,0.6,768,8192,83.49,83.05,83.01,81.62,86.82,83.56,88.75,86.03,88.56,65.62,87.84
226,34,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/piaopiao0095/jina-embeddings-v2-base-es-Q5_K_M-GGUF"">jina-embeddings-v2-base-es-Q5_K_M-GGUF</a>",,,,,83.49,83.05,83.01,81.62,86.82,83.56,88.75,86.03,88.56,65.62,87.84
45,35,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/GritLM/GritLM-7B"">GritLM-7B</a>",7240,26.97,,4096,83.35,86.32,83.13,77.34,85.04,82.91,88.13,86.24,90.14,68.63,85.64
267,36,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/thenlper/gte-large"">gte-large</a>",335,1.25,1024,512,83.35,88.65,79.81,76.81,88.11,82.66,88.93,84.25,88.47,69.71,86.07
104,37,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Santyyy/ember-v1-Q8_0-GGUF"">ember-v1-Q8_0-GGUF</a>",,,,,83.34,85.81,81.75,78.51,86.62,83.06,88.39,86.82,87.9,66.76,87.77
196,38,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/llmrails/ember-v1"">ember-v1</a>",335,1.25,1024,512,83.34,85.81,81.75,78.51,86.62,83.06,88.39,86.82,87.9,66.76,87.77
46,39,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/GritLM/GritLM-8x7B"">GritLM-8x7B</a>",46703,173.98,4096,32768,83.26,87.34,80.56,73.69,85.82,82.05,88.8,86.2,91.46,69.21,87.43
35,40,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Cohere/Cohere-embed-multilingual-v3.0"">Cohere-embed-multilingual-v3.0</a>",,,1024,512,83.15,85.01,82.18,77.62,85.16,80.02,88.92,86.92,90.09,66.81,88.79
163,41,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/hkunlp/instructor-large"">instructor-large</a>",335,1.25,768,512,83.15,84.39,81.27,76.28,88.18,81.92,89.01,85.49,90.3,67.74,86.88
231,42,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sabafallah/bge-large-en-v1.5-Q4_K_M-GGUF"">bge-large-en-v1.5-Q4_K_M-GGUF</a>",,,,,83.11,84.65,81.68,79.05,86.37,82.78,88.03,86.49,87.5,67.05,87.52
232,43,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sabafallah/bge-large-en-v1.5-Q8_0-GGUF"">bge-large-en-v1.5-Q8_0-GGUF</a>",,,,,83.11,84.65,81.68,79.05,86.37,82.78,88.03,86.49,87.5,67.05,87.52
23,44,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-large-en-v1.5"">bge-large-en-v1.5</a>",335,1.25,1024,512,83.11,84.65,81.68,79.05,86.37,82.78,88.03,86.49,87.5,67.05,87.52
164,45,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/hkunlp/instructor-xl"">instructor-xl</a>",1241,4.62,768,512,83.06,84.15,81.7,75.32,87.44,81.87,88.94,85.38,90.54,68.65,86.56
27,46,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BN7002/gte-Qwen2-7B-instruct-Q4_K_M-GGUF"">gte-Qwen2-7B-instruct-Q4_K_M-GGUF</a>",,,,,83.04,81.37,79.28,79.55,88.83,83.87,88.54,86.49,88.73,66.88,86.85
17,47,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Alibaba-NLP/gte-Qwen2-7B-instruct"">gte-Qwen2-7B-instruct</a>",7613,28.36,3584,131072,83.04,81.37,79.28,79.55,88.83,83.87,88.54,86.49,88.73,66.88,86.85
131,48,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/avsolatorio/GIST-small-Embedding-v0"">GIST-small-Embedding-v0</a>",33,0.12,384,512,83.03,86.99,80.53,75.57,86.26,82.3,88.74,85.27,89.02,68.51,87.08
165,49,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/infgrad/stella-base-en-v2"">stella-base-en-v2</a>",55,0.2,768,512,83.02,85.94,81.06,78.72,84.88,83.11,88.74,86.35,87.71,66.28,87.45
182,50,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-7b1"">udever-bloom-7b1</a>",7069,26.33,4096,2048,83.01,85.52,81.41,77.47,86.38,81.17,88.23,86.29,90.62,65.01,88.02
58,51,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Lajavaness/bilingual-embedding-base"">bilingual-embedding-base</a>",278,1.04,768,514,83.0,87.13,79.49,79.59,84.7,83.92,89.88,84.88,88.69,64.27,87.44
132,52,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/avsolatorio/NoInstruct-small-Embedding-v0"">NoInstruct-small-Embedding-v0</a>",33,0.12,384,512,83.0,87.2,80.31,75.76,86.08,82.28,88.9,85.18,88.73,68.54,86.98
8,53,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://docs.voyageai.com/embeddings/"">voyage-lite-01-instruct</a>",,,1024,4000,82.93,84.85,79.71,77.09,88.91,82.08,89.21,84.74,90.73,62.1,89.86
288,54,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/zeroshot/gte-large-quant"">gte-large-quant</a>",,,,,82.88,87.98,79.13,75.98,87.55,81.99,88.93,83.59,88.51,69.72,85.4
222,55,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nvidia/NV-Embed-v1"">NV-Embed-v1</a>",7851,29.25,4096,32768,82.84,85.59,82.8,76.22,86.3,82.09,87.24,84.77,87.42,69.85,86.14
207,56,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/neuralmagic/bge-base-en-v1.5-quant"">bge-base-en-v1.5-quant</a>",,,,,82.79,86.71,80.06,77.75,86.08,82.89,88.54,85.76,87.82,65.46,86.79
36,57,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/DecisionOptimizationSystemProduction/DeepFeatTextEmbeddingLarge"">DeepFeatTextEmbeddingLarge</a>",1776,6.62,1536,131072,82.73,82.11,80.49,77.25,87.79,82.91,88.45,85.45,90.33,66.1,86.38
16,58,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Alibaba-NLP/gte-Qwen2-1.5B-instruct"">gte-Qwen2-1.5B-instruct</a>",1776,6.62,1536,131072,82.73,82.11,80.49,77.25,87.79,82.91,88.45,85.45,90.33,66.1,86.38
259,59,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-xxl"">sentence-t5-xxl</a>",4865,18.12,768,512,82.63,80.43,80.47,78.85,88.94,84.86,89.32,84.67,89.46,65.33,84.01
33,60,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Cohere/Cohere-embed-english-v3.0"">Cohere-embed-english-v3.0</a>",,,1024,512,82.62,83.5,81.27,74.37,85.2,80.98,89.23,86.32,90.34,66.42,88.55
63,61,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/MAY-A/jina-embeddings-v2-base-de-Q5_K_M-GGUF"">jina-embeddings-v2-base-de-Q5_K_M-GGUF</a>",,,,,82.61,76.91,80.33,80.59,86.59,82.99,88.79,84.44,89.31,67.97,88.14
138,62,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/chris-code/jina-embeddings-v2-base-de-Q8_0-GGUF"">jina-embeddings-v2-base-de-Q8_0-GGUF</a>",,,,,82.61,76.91,80.33,80.59,86.59,82.99,88.79,84.44,89.31,67.97,88.14
187,63,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jinaai/jina-embeddings-v2-base-de"">jina-embeddings-v2-base-de</a>",161,0.6,768,8192,82.61,76.91,80.33,80.59,86.59,82.99,88.79,84.44,89.31,67.97,88.14
192,64,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/jspringer/echo-mistral-7b-instruct-lasttoken"">echo-mistral-7b-instruct-lasttoken</a>",7111,26.49,4096,32768,82.56,86.54,83.23,76.13,83.19,80.6,87.16,85.16,90.88,67.04,85.67
210,65,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/neuralmagic/bge-large-en-v1.5-sparse"">bge-large-en-v1.5-sparse</a>",,,,,82.5,85.64,80.74,76.07,86.81,81.68,88.75,84.61,89.75,64.1,86.88
15,66,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Alibaba-NLP/gte-Qwen1.5-7B-instruct"">gte-Qwen1.5-7B-instruct</a>",7099,26.45,4096,32768,82.42,81.12,79.15,76.52,88.63,83.32,87.5,86.39,87.79,66.4,87.35
133,67,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/aws-neuron/bge-base-en-v1-5-seqlen-384-bs-1"">bge-base-en-v1-5-seqlen-384-bs-1</a>",,,,,82.4,86.94,80.3,78.03,84.19,82.27,87.96,85.48,86.42,65.95,86.42
21,68,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-base-en-v1.5"">bge-base-en-v1.5</a>",109,0.41,768,512,82.4,86.94,80.3,78.03,84.19,82.27,87.96,85.48,86.42,65.95,86.42
180,69,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-3b"">udever-bloom-3b</a>",3003,11.19,2560,2048,82.37,84.82,80.85,76.1,85.49,80.44,87.75,85.42,89.95,65.13,87.71
266,70,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/thenlper/gte-base"">gte-base</a>",109,0.41,768,512,82.3,87.64,78.86,75.71,85.73,81.51,88.81,83.82,87.9,67.33,85.73
162,71,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/hkunlp/instructor-base"">instructor-base</a>",110,0.41,768,512,82.29,82.31,80.26,77.02,86.58,81.32,88.19,84.88,89.46,66.45,86.43
118,72,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/YanshekWoo/kalm-embedding-multilingual-mini"">kalm-embedding-multilingual-mini</a>",,,,,82.12,86.37,79.83,76.4,84.83,80.02,88.41,84.22,86.72,68.98,85.44
20,73,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Alibaba-NLP/gte-multilingual-base"">gte-multilingual-base</a>",305,1.14,768,8192,82.11,81.21,79.34,77.51,85.55,81.68,88.95,84.34,88.88,67.2,86.46
268,74,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/thenlper/gte-small"">gte-small</a>",33,0.12,384,512,82.07,88.17,77.93,75.12,85.09,81.03,88.32,83.91,87.59,68.0,85.57
213,75,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nomic-ai/nomic-embed-text-v1"">nomic-embed-text-v1</a>",137,0.51,768,8192,82.06,86.47,78.58,78.92,85.4,81.64,87.2,85.44,87.2,64.22,85.54
168,76,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-large"">e5-large</a>",335,1.25,1024,512,82.06,84.73,80.49,75.93,85.22,80.54,88.81,85.28,89.37,62.99,87.21
55,77,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/KeyurRamoliya/e5-large-v2-GGUF"">e5-large-v2-GGUF</a>",,,,,82.05,83.6,79.28,76.95,84.12,80.46,89.76,85.47,89.03,64.11,87.74
169,78,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-large-v2"">e5-large-v2</a>",335,1.25,1024,512,82.05,83.6,79.28,76.95,84.12,80.46,89.76,85.47,89.03,64.11,87.74
211,79,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/neuralmagic/bge-small-en-v1.5-quant"">bge-small-en-v1.5-quant</a>",,,,,82.04,86.66,79.44,76.17,84.15,81.49,88.11,84.99,87.98,65.07,86.31
18,80,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Alibaba-NLP/gte-base-en-v1.5"">gte-base-en-v1.5</a>",137,0.51,768,8192,81.97,83.65,79.37,74.38,84.71,80.1,87.16,85.02,90.64,68.63,86.04
293,81,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/zyj2003lj/nomic-embed-text-v1.5-Q4_K_M-GGUF"">nomic-embed-text-v1.5-Q4_K_M-GGUF</a>",,,,,81.94,84.25,79.38,78.52,86.05,81.54,86.97,84.77,87.47,65.02,85.47
220,82,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nomic-ai/nomic-embed-text-v1.5"">nomic-embed-text-v1.5</a>",137,0.51,768,8192,81.94,84.25,79.38,78.52,86.05,81.54,86.97,84.77,87.47,65.02,85.47
119,83,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/YorkieOH10/nomic-embed-text-v1.5-Q8_0-GGUF"">nomic-embed-text-v1.5-Q8_0-GGUF</a>",,,,,81.94,84.25,79.38,78.52,86.05,81.54,86.97,84.77,87.47,65.02,85.47
100,84,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/RinaChen/nomic-embed-text-v1.5-Q4_K_M-GGUF"">nomic-embed-text-v1.5-Q4_K_M-GGUF</a>",,,,,81.94,84.25,79.38,78.52,86.05,81.54,86.97,84.77,87.47,65.02,85.47
61,85,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Lajavaness/bilingual-embedding-small"">bilingual-embedding-small</a>",118,0.44,384,512,81.93,83.99,74.65,79.39,85.32,83.9,88.47,84.44,85.77,67.24,86.08
289,86,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/zeroshot/gte-large-sparse"">gte-large-sparse</a>",,,,,81.9,85.83,79.0,73.48,86.14,80.36,88.53,84.08,89.42,66.75,85.45
257,87,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-large"">sentence-t5-large</a>",168,0.63,768,512,81.83,78.93,80.34,79.11,87.33,83.17,88.28,84.36,88.99,62.39,85.36
305,88,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/new-embedding-models-and-api-updates"">text-embedding-3-large</a>",,,3072,8191,81.73,84.68,79.0,72.84,86.1,81.15,88.49,85.08,90.22,66.14,83.56
218,89,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nomic-ai/nomic-embed-text-v1.5"">nomic-embed-text-v1.5-512</a>",138,0.51,512,8192,81.7,83.3,79.27,78.3,85.81,81.38,86.79,84.56,87.25,65.24,85.14
258,90,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-xl"">sentence-t5-xl</a>",1240,4.62,768,512,81.66,73.12,79.98,79.02,88.8,84.33,88.89,85.31,88.91,64.32,83.93
174,91,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/multilingual-e5-large"">multilingual-e5-large</a>",560,2.09,1024,514,81.62,82.49,80.23,80.02,81.55,77.72,89.31,85.79,88.12,63.66,87.29
26,92,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/BAAI/bge-small-en-v1.5"">bge-small-en-v1.5</a>",33,0.12,384,512,81.59,83.75,79.41,77.44,82.98,81.84,87.26,84.93,87.15,65.3,85.86
306,93,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://openai.com/blog/new-embedding-models-and-api-updates"">text-embedding-3-small</a>",,,1536,8191,81.58,88.72,76.73,73.09,84.92,79.81,88.01,84.41,90.94,64.96,84.24
56,94,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/KeyurRamoliya/multilingual-e5-large-GGUF"">multilingual-e5-large-GGUF</a>",,,,,81.56,82.51,80.23,80.02,81.55,77.72,89.31,85.78,88.12,63.06,87.29
126,95,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/amazon/Titan-text-embeddings-v2"">Titan-text-embeddings-v2</a>",,,,,81.54,87.13,76.49,75.0,87.91,82.26,87.87,80.92,87.23,68.59,81.95
179,96,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-1b1"">udever-bloom-1b1</a>",,,1536,2048,81.52,84.65,79.92,75.8,83.62,78.73,86.41,84.5,89.95,65.81,85.79
290,97,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/zeroshot/gte-small-quant"">gte-small-quant</a>",,,,,81.5,87.81,77.31,73.99,84.23,80.09,88.2,83.61,87.8,66.84,85.13
19,98,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Alibaba-NLP/gte-large-en-v1.5"">gte-large-en-v1.5</a>",434,1.62,1024,8192,81.43,85.39,79.78,73.88,85.08,79.61,86.15,81.6,89.11,70.59,83.07
217,99,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/nomic-ai/nomic-embed-text-v1.5"">nomic-embed-text-v1.5-256</a>",138,0.51,256,8192,81.34,81.58,79.24,78.16,86.01,81.25,86.51,84.24,86.44,65.14,84.8
102,100,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Salesforce/SFR-Embedding-2_R"">SFR-Embedding-2_R</a>",7111,26.49,4096,32768,81.26,87.6,77.01,75.67,82.4,79.93,85.82,84.5,88.93,67.1,83.6
208,101,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/neuralmagic/bge-base-en-v1.5-sparse"">bge-base-en-v1.5-sparse</a>",,,,,81.19,83.94,78.64,74.88,83.64,80.4,88.01,84.31,88.3,63.84,85.93
256,102,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/sentence-t5-base"">sentence-t5-base</a>",110,0.41,768,512,81.14,75.89,80.18,78.05,85.85,82.19,87.46,84.03,89.57,62.66,85.52
155,103,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/dwzhu/e5-base-4k"">e5-base-4k</a>",112,0.42,768,4096,81.05,81.4,78.3,75.79,83.58,79.95,88.82,84.46,87.58,64.07,86.52
167,104,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/intfloat/e5-base-v2"">e5-base-v2</a>",110,0.41,768,512,81.05,81.4,78.3,75.79,83.58,79.95,88.82,84.46,87.58,64.07,86.52
