Rank,Model,Model Size (Million Parameters),"Memory Usage (GB, fp32)",Average,OpusparcusPC (fr),PawsX (fr),Subset,Task category
32,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/vprelovac/universal-sentence-encoder-multilingual-3"">universal-sentence-encoder-multilingual-3</a>",,,71.92,91.46,52.39,fr,PairClassification
33,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/all-MiniLM-L12-v2"">all-MiniLM-L12-v2</a>",33,0.12,71.44,87.35,55.53,fr,PairClassification
34,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2"">all-MiniLM-L6-v2</a>",23,0.09,70.96,86.53,55.4,fr,PairClassification
35,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/izhx/udever-bloom-560m"">udever-bloom-560m</a>",,,70.9,82.1,59.69,fr,PairClassification
36,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/google-bert/bert-base-multilingual-uncased"">bert-base-multilingual-uncased</a>",168,0.63,70.32,87.43,53.22,fr,PairClassification
37,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Geotrend/bert-base-10lang-cased"">bert-base-10lang-cased</a>",138,0.51,70.1,86.79,53.4,fr,PairClassification
38,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Geotrend/bert-base-25lang-cased"">bert-base-25lang-cased</a>",138,0.51,70.09,86.79,53.39,fr,PairClassification
39,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/Geotrend/bert-base-15lang-cased"">bert-base-15lang-cased</a>",138,0.51,70.08,86.78,53.38,fr,PairClassification
40,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/google-bert/bert-base-multilingual-cased"">bert-base-multilingual-cased</a>",179,0.67,70.08,86.77,53.39,fr,PairClassification
41,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/xlm-roberta-large"">xlm-roberta-large</a>",560,2.09,68.56,83.73,53.38,fr,PairClassification
42,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/xlm-roberta-base"">xlm-roberta-base</a>",279,1.04,68.4,85.45,51.35,fr,PairClassification
43,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/flaubert/flaubert_base_uncased"">flaubert_base_uncased</a>",138,0.51,67.39,82.0,52.78,fr,PairClassification
44,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/flaubert/flaubert_base_cased"">flaubert_base_cased</a>",138,0.51,67.02,82.15,51.89,fr,PairClassification
45,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/flaubert/flaubert_large_cased"">flaubert_large_cased</a>",372,1.39,64.46,74.78,54.14,fr,PairClassification
58,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/facebook/SONAR"">SONAR</a>",,,,,71.36,fr,PairClassification
60,"<a target=""_blank"" style=""text-decoration: underline"" href=""https://huggingface.co/manu/sentence_croissant_alpha_v0.1"">sentence_croissant_alpha_v0.1</a>",1280,4.77,,,66.96,fr,PairClassification
